label,n_series,n_observations,dcc_a,dcc_b,a_plus_b,adcc_gamma,correlation_model_used,garch_quality_gate_triggered,garch_quality_gate_min_convergence_rate,garch_quality_gate_shrinkage,dcc_max_a,dcc_a_at_upper_bound,dcc_large_a_penalty_lambda,dcc_large_a_penalty_threshold,adcc_max_a,adcc_a_at_upper_bound,adcc_large_a_penalty_lambda,adcc_large_a_penalty_threshold,adcc_guardrail_triggered,adcc_ll_improvement_per_obs,update_success_rate,smoothness_mean,smoothness_75pct,successful_updates,total_updates,spd_projection_dates,garch_converged,garch_total,garch_convergence_rate,validation_checks_passed,validation_checks_total,overfitting_flag,status,block_label,block_id,country,block_key,series_covered,missing_series,already_assigned
usa_macro (USA:macro),2,6980,0.2,0.7799990555330979,0.979999055533098,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0025478170688218115,0.0001781164536207025,6980,6980,0,2,2,1.0,3,3,False,completed,usa_macro (USA:macro),usa_macro,USA,macro,2,,
usa_real_estate (USA:real_estate),2,6980,0.1999998086935557,0.7799989286146866,0.9799987373082423,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.003035341536354903,0.00013707689201108986,6980,6980,0,2,2,1.0,3,3,False,completed,usa_real_estate (USA:real_estate),usa_real_estate,USA,real_estate,2,,
usa_public_finance (USA:public_finance),2,6980,0.2,0.7799990168940016,0.9799990168940016,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007269759823931256,0.0012875756229662194,6980,6980,0,2,2,1.0,3,3,False,completed,usa_public_finance (USA:public_finance),usa_public_finance,USA,public_finance,2,,
usa_external_fx (USA:external_fx),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.2,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.002448003794807061,0.00039969617674640023,6980,6980,0,2,2,1.0,3,3,False,completed,usa_external_fx (USA:external_fx),usa_external_fx,USA,external_fx,2,,
usa_financial_markets (USA:financial_markets),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.2,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.006642652523278084,0.005167597605902047,6980,6980,0,2,2,1.0,3,3,False,completed,usa_financial_markets (USA:financial_markets),usa_financial_markets,USA,financial_markets,2,,
usa_banking_system (USA:banking_system),2,6980,0.2,0.7799990125299542,0.9799990125299542,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.01351482214244142,0.003868479633725136,5959,5959,0,2,2,1.0,3,3,False,completed,usa_banking_system (USA:banking_system),usa_banking_system,USA,banking_system,2,,
usa_systemic_stress (USA:systemic_stress),2,6980,0.2,0.7331955019903269,0.9331955019903269,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.011238714299497287,0.0032084042706570504,5980,5980,0,2,2,1.0,3,3,False,completed,usa_systemic_stress (USA:systemic_stress),usa_systemic_stress,USA,systemic_stress,2,,
usa_commodities (USA:commodities),2,6980,0.19999999999952955,0.7799990000005181,0.9799990000000477,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007070412812341864,0.0015831976682674498,6567,6567,0,2,2,1.0,3,3,False,completed,usa_commodities (USA:commodities),usa_commodities,USA,commodities,2,,
deu_macro (Germany:macro),2,6980,0.2,0.7349320870920473,0.9349320870920472,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.00197316403032604,0.00012556446149469824,6980,6980,0,2,2,1.0,3,3,False,completed,deu_macro (Germany:macro),deu_macro,Germany,macro,2,,
deu_real_estate (Germany:real_estate),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.2,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0011155039409030513,0.00014166470070076098,6720,6720,0,1,2,0.5,2,3,False,completed,deu_real_estate (Germany:real_estate),deu_real_estate,Germany,real_estate,2,,
deu_public_finance (Germany:public_finance),2,6980,0.19999999207670205,0.7799989882986417,0.9799989803753437,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.03105965319202826,0.02083887997206446,6980,6980,0,2,2,1.0,3,3,False,completed,deu_public_finance (Germany:public_finance),deu_public_finance,Germany,public_finance,2,,
deu_external_fx (Germany:external_fx),2,6980,0.07563603182178003,0.904362971445304,0.979999003267084,,dcc,False,0.5,0.2,0.2,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007178006028965402,0.002338446607619782,6980,6980,0,2,2,1.0,3,3,False,completed,deu_external_fx (Germany:external_fx),deu_external_fx,Germany,external_fx,2,,
deu_financial_markets (Germany:financial_markets),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.2,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0077046605598390045,0.006727713911949179,6980,6980,0,2,2,1.0,3,3,False,completed,deu_financial_markets (Germany:financial_markets),deu_financial_markets,Germany,financial_markets,2,,
deu_banking_system (Germany:banking_system),2,6980,0.2,0.7799990104104336,0.9799990104104337,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.004215946865765984,0.0008570856323716902,6980,6980,0,2,2,1.0,3,3,False,completed,deu_banking_system (Germany:banking_system),deu_banking_system,Germany,banking_system,2,,
deu_systemic_stress (Germany:systemic_stress),2,6980,0.2,0.7799990954727366,0.9799990954727367,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.009119088149614193,0.001734954632258423,6980,6980,0,2,2,1.0,3,3,False,completed,deu_systemic_stress (Germany:systemic_stress),deu_systemic_stress,Germany,systemic_stress,2,,
deu_commodities (Germany:commodities),2,6980,0.19999999999952955,0.7799990000005181,0.9799990000000477,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007070412812341864,0.0015831976682674498,6567,6567,0,2,2,1.0,3,3,False,completed,deu_commodities (Germany:commodities),deu_commodities,Germany,commodities,2,,
fra_macro (France:macro),2,6980,0.19999956958580697,0.779998840083847,0.979998409669654,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.004749993071566266,0.00035097550862722704,6980,6980,0,2,2,1.0,3,3,False,completed,fra_macro (France:macro),fra_macro,France,macro,2,,
fra_real_estate (France:real_estate),2,6980,0.2,0.7799990488833831,0.9799990488833832,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0034778228316038194,9.6050518861579e-05,6720,6720,0,2,2,1.0,3,3,False,completed,fra_real_estate (France:real_estate),fra_real_estate,France,real_estate,2,,
fra_public_finance (France:public_finance),2,6980,0.19999999999997112,0.7111443347871379,0.911144334787109,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.023479203604271196,0.013105706574265047,6980,6980,0,2,2,1.0,3,3,False,completed,fra_public_finance (France:public_finance),fra_public_finance,France,public_finance,2,,
fra_external_fx (France:external_fx),2,6980,0.07563603182178003,0.904362971445304,0.979999003267084,,dcc,False,0.5,0.2,0.2,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007178006028965402,0.002338446607619782,6980,6980,0,2,2,1.0,3,3,False,completed,fra_external_fx (France:external_fx),fra_external_fx,France,external_fx,2,,
fra_financial_markets (France:financial_markets),2,6980,0.2,0.7799990012257023,0.9799990012257023,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.019495210545748994,0.0075123026748925015,6980,6980,0,2,2,1.0,3,3,False,completed,fra_financial_markets (France:financial_markets),fra_financial_markets,France,financial_markets,2,,
fra_banking_system (France:banking_system),2,6980,0.2,0.7705298498637819,0.970529849863782,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0029604879935676725,0.00038898534298170695,6980,6980,0,2,2,1.0,3,3,False,completed,fra_banking_system (France:banking_system),fra_banking_system,France,banking_system,2,,
fra_systemic_stress (France:systemic_stress),2,6980,0.2,0.7799990954727366,0.9799990954727367,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.009119088149614193,0.001734954632258423,6980,6980,0,2,2,1.0,3,3,False,completed,fra_systemic_stress (France:systemic_stress),fra_systemic_stress,France,systemic_stress,2,,
