date,FRA_public_finance_f1__FRA_public_finance_f2
1999-02-01,0.08170621040731055
1999-02-02,-0.15466836863783381
1999-02-03,-0.29881802761582527
1999-02-04,-0.4029812511324764
1999-02-05,-0.4779238903651085
1999-02-08,-0.5316697497190204
1999-02-09,-0.5701232988540548
1999-02-10,-0.5975885506547954
1999-02-11,-0.6171812107674868
1999-02-12,-0.631145439966859
1999-02-15,-0.6410917899680808
1999-02-16,-0.6481730833877901
1999-02-17,-0.6532129628414407
1999-02-18,-0.6567991004449429
1999-02-19,-0.6593504029573738
1999-02-22,-0.6611652742721533
1999-02-23,-0.6624561764132387
1999-02-24,-0.663374329091777
1999-02-25,-0.664027336430147
1999-02-26,-0.664491753429782
1999-03-01,-0.6648220384139242
1999-03-02,-0.4847464581494668
1999-03-03,-0.24342033551007053
1999-03-04,-0.04842304599341661
1999-03-05,0.10474319117099856
1999-03-08,0.22225613748528844
1999-03-09,0.3107269307168833
1999-03-10,0.3763567625449864
1999-03-11,0.42449696041963003
1999-03-12,0.45951131348740226
1999-03-15,0.4848202194788097
1999-03-16,0.5030305617735077
1999-03-17,0.5160899918665931
1999-03-18,0.5254331200563769
1999-03-19,0.5321060178392679
1999-03-22,0.5368659659280878
1999-03-23,0.5402583724047796
1999-03-24,0.542674616504381
1999-03-25,0.5443948176937332
1999-03-26,0.5456190930476711
1999-03-29,0.5464902176687407
1999-03-30,0.5471099600911962
1999-03-31,0.5475508114391792
1999-04-01,0.3268288858367815
1999-04-02,0.35444446801776075
1999-04-05,0.3879008692801552
1999-04-06,0.4254476898879043
1999-04-07,0.4651605824642293
1999-04-08,0.504978854754204
1999-04-09,0.542915279510789
1999-04-12,0.5773340269470851
1999-04-13,0.607169429742447
1999-04-14,0.6319952733777211
1999-04-15,0.6519380979914183
1999-04-16,0.6674983091748912
1999-04-19,0.679359385119306
1999-04-20,0.6882384079062018
1999-04-21,0.694794223415282
1999-04-22,0.6995851824702998
1999-04-23,0.703059957847203
1999-04-26,0.7055662336061661
1999-04-27,0.7073667226087827
1999-04-28,0.7086564491161552
1999-04-29,0.7095783920861887
1999-04-30,0.7102364521425436
1999-05-03,0.699393428824383
1999-05-04,0.702699957682775
1999-05-05,0.7050141237899268
1999-05-06,0.7066413755001066
1999-05-07,0.7077893888063961
1999-05-10,0.7086011883914632
1999-05-11,0.7091761839251196
1999-05-12,0.7095839260002474
1999-05-13,0.7098733036060721
1999-05-14,0.7100787973420839
1999-05-17,0.7102247838799645
1999-05-18,0.7103285260408818
1999-05-19,0.7104022636261313
1999-05-20,0.7104546824546761
1999-05-21,0.7104919500833704
1999-05-24,0.7105184478302378
1999-05-25,0.7105372890671791
1999-05-26,0.7105506866492581
1999-05-27,0.710560213628318
1999-05-28,0.7105669883641248
1999-05-31,0.7105718060165933
1999-06-01,0.051793139794004045
1999-06-02,-0.08938669578899272
1999-06-03,-0.2092288870770853
1999-06-04,-0.30956920537902977
1999-06-07,-0.3918900131414248
1999-06-08,-0.45788202243330023
1999-06-09,-0.5095814521349773
1999-06-10,-0.5492463354509267
1999-06-11,-0.5791411720381692
1999-06-14,-0.6013490721344994
1999-06-15,-0.617660719656693
1999-06-16,-0.6295384144957782
1999-06-17,-0.6381316195721172
1999-06-18,-0.6443189574591761
1999-06-21,-0.6487584950868716
1999-06-22,-0.6519359092092508
1999-06-23,-0.6542058709271776
1999-06-24,-0.6558254232965317
1999-06-25,-0.6569798451890324
