,omega,alpha,beta,alpha_beta_sum,converged,loglikelihood,nu
M1SL,0.01,0.1,0.85,0.95,True,2925.9340035534597,8.0
lme_proxy_equal,0.007523242935293578,0.07523241109101975,0.6394754942736678,0.7147079053646875,True,-435.0092892659033,6.526328459915674
MYAGM2EZM196N,0.008079361414198244,0.08079361379602369,0.6867457172662014,0.767539331062225,True,5684.122898043126,6.8572200208634095
EUR3MTD156N,0.00023556499440953536,0.9999999999999374,4.723300422245196e-13,1.0000000000004097,True,-6895.781949604374,499.99976828207167
GOLDAMGBD228NLBM,0.0050286655309580465,0.038816726250668204,0.959319131320498,0.9981358575711662,True,-8900.128925563657,4.987684670039446
IRLTLT01USM156N,0.01,0.1,0.85,0.95,True,4914.471494338507,8.0
USD3MTD156N,0.0008388305779767895,0.968887883215291,0.03111211678470968,1.0000000000000007,True,-10635.915331742766,306.94436360894645
ECBESTRVOLWGTTRMDMNRT,0.003446067997733902,0.999990733017845,1.4813690238775326e-24,0.999990733017845,True,-2020.230371849017,271.7419381744841
IRLTLT01FRM156N,0.00884990663531905,0.1,0.85,0.95,True,5531.53223184902,8.0
MYAGM1EZM196N,0.01,0.1,0.85,0.95,True,716.3010659233246,8.0
MORTGAGE30US,0.01552834152013419,0.0,0.0,0.0,True,22345.065729335267,2.05
CSUSHPISA,0.01,0.1,0.85,0.95,True,3846.7653617155147,8.0
IRLTLT01DEM156N,0.00756750616509226,0.1,0.85,0.95,True,6260.812351364646,8.0
IRLTLT01ESM156N,0.005351250608250961,0.0535125060174296,0.45485630114815156,0.5083688071655812,True,13967.288989231607,5.23399410803706
IRLTLT01ITM156N,0.01,0.1,0.85,0.95,True,4732.015232276346,8.0
IBEX_35,0.018569854605168905,0.08523850518614928,0.9055120567150639,0.9907505619012131,True,-12996.979312277437,9.661684238999289
