,M1SL,lme_proxy_equal,MYAGM2EZM196N,EUR3MTD156N,GOLDAMGBD228NLBM,IRLTLT01USM156N,USD3MTD156N,ECBESTRVOLWGTTRMDMNRT,IRLTLT01FRM156N,MYAGM1EZM196N,MORTGAGE30US,CSUSHPISA,IRLTLT01DEM156N,IRLTLT01ESM156N,IRLTLT01ITM156N,IBEX_35
M1SL,1.0,0.061799811835764655,0.37109781140326015,-0.06021710472753122,0.01636252115920177,-0.05075174630411573,-0.07118968251354017,-0.11566955700994465,-0.10683478593492797,0.2835792131700634,-0.005275702604815998,0.37941555643969166,-0.11549759424813338,-0.11074098879449155,-0.08373349421240879,0.00649437367656571
lme_proxy_equal,0.061799811835764655,1.0,0.014252455952423176,-0.015317319624629976,0.011128148761171148,0.18770173512286883,-0.011233695611824898,-0.016732753902857667,0.16041573972893905,0.012546454998624876,-0.0029766762037768415,0.0925871431765189,0.18625095826472512,0.11477207253679556,0.060461386144691646,0.044528074801669995
MYAGM2EZM196N,0.37109781140326015,0.014252455952423176,1.0,0.033677879633390924,0.014028110909545696,-0.08852740634919426,0.009592602231090114,,-0.17035936447315364,0.8850402944295146,-0.015221639802112035,0.4384227131066595,-0.1635302278169813,-0.1635042358505183,-0.12400888984691673,0.02940752191885171
EUR3MTD156N,-0.06021710472753122,-0.015317319624629976,0.033677879633390924,1.0,0.02462779825720343,-0.01418122195874378,0.7092560581571573,0.999,0.017352198353973777,0.0036122996157949942,-0.019092624113746848,-0.023557497857385108,0.009812400369802068,0.016798567836205112,0.012830660332191724,0.002884169351994091
GOLDAMGBD228NLBM,0.01636252115920177,0.011128148761171148,0.014028110909545696,0.02462779825720343,1.0,-0.03178688837494108,0.023951452151624253,0.051925490369776436,-0.01922194860240209,0.02133871702429357,-0.0002925429576156174,-0.00011399674420711878,-0.026605434456023366,-0.00977173280321603,-0.016580512311435838,-0.025299768777751197
IRLTLT01USM156N,-0.05075174630411573,0.18770173512286883,-0.08852740634919426,-0.01418122195874378,-0.03178688837494108,1.0,-0.005855171402968527,-0.022385095632740704,0.6358316293626738,-0.0508011207495163,0.0377973737942966,0.059053765934005756,0.7251389964937689,0.4555142250619843,0.40949299870511496,0.0028928825117232196
USD3MTD156N,-0.07118968251354017,-0.011233695611824898,0.009592602231090114,0.7092560581571573,0.023951452151624253,-0.005855171402968527,1.0,0.9324945399734115,0.008026983409522865,0.0007614880666968092,9.19383558287729e-05,-0.03455960054470414,0.0069436135309541,-0.0020457736266211697,-0.0007641641393665231,0.02895442700659522
ECBESTRVOLWGTTRMDMNRT,-0.11566955700994465,-0.016732753902857667,,0.999,0.051925490369776436,-0.022385095632740704,0.9324945399734115,1.0,-0.0070060616963431325,,-0.043034316699401894,-0.06967244096101012,-0.013671325025180632,-0.022533708885918123,-0.029954805513041843,0.05406468391986486
IRLTLT01FRM156N,-0.10683478593492797,0.16041573972893905,-0.17035936447315364,0.017352198353973777,-0.01922194860240209,0.6358316293626738,0.008026983409522865,-0.0070060616963431325,1.0,-0.12393519684883797,0.019128219773082992,-0.04258799517718911,0.8850457320258315,0.7619780223346361,0.7298391344383246,-0.014066995500888765
MYAGM1EZM196N,0.2835792131700634,0.012546454998624876,0.8850402944295146,0.0036122996157949942,0.02133871702429357,-0.0508011207495163,0.0007614880666968092,,-0.12393519684883797,1.0,-0.013444420545725541,0.3898481307084009,-0.11979023172917427,-0.12077041997885887,-0.09623622609495815,0.013547589953071535
MORTGAGE30US,-0.005275702604815998,-0.0029766762037768415,-0.015221639802112035,-0.019092624113746848,-0.0002925429576156174,0.0377973737942966,9.19383558287729e-05,-0.043034316699401894,0.019128219773082992,-0.013444420545725541,1.0,0.009057767734318049,0.025205367746148486,0.021687221334845866,0.009179378698134889,0.005092339368066429
CSUSHPISA,0.37941555643969166,0.0925871431765189,0.4384227131066595,-0.023557497857385108,-0.00011399674420711878,0.059053765934005756,-0.03455960054470414,-0.06967244096101012,-0.04258799517718911,0.3898481307084009,0.009057767734318049,1.0,-0.036337247195635976,-0.0928423942712443,-0.08651546801358764,0.04034811168563323
IRLTLT01DEM156N,-0.11549759424813338,0.18625095826472512,-0.1635302278169813,0.009812400369802068,-0.026605434456023366,0.7251389964937689,0.0069436135309541,-0.013671325025180632,0.8850457320258315,-0.11979023172917427,0.025205367746148486,-0.036337247195635976,1.0,0.6548283911395083,0.6071950015103211,-0.008879895896961114
IRLTLT01ESM156N,-0.11074098879449155,0.11477207253679556,-0.1635042358505183,0.016798567836205112,-0.00977173280321603,0.4555142250619843,-0.0020457736266211697,-0.022533708885918123,0.7619780223346361,-0.12077041997885887,0.021687221334845866,-0.0928423942712443,0.6548283911395083,1.0,0.8772672804576406,-0.016224854915918373
IRLTLT01ITM156N,-0.08373349421240879,0.060461386144691646,-0.12400888984691673,0.012830660332191724,-0.016580512311435838,0.40949299870511496,-0.0007641641393665231,-0.029954805513041843,0.7298391344383246,-0.09623622609495815,0.009179378698134889,-0.08651546801358764,0.6071950015103211,0.8772672804576406,1.0,-0.02062065745738215
IBEX_35,0.00649437367656571,0.044528074801669995,0.02940752191885171,0.002884169351994091,-0.025299768777751197,0.0028928825117232196,0.02895442700659522,0.05406468391986486,-0.014066995500888765,0.013547589953071535,0.005092339368066429,0.04034811168563323,-0.008879895896961114,-0.016224854915918373,-0.02062065745738215,1.0
