label,n_series,n_observations,dcc_a,dcc_b,a_plus_b,adcc_gamma,correlation_model_used,garch_quality_gate_triggered,garch_quality_gate_min_convergence_rate,garch_quality_gate_shrinkage,dcc_max_a,dcc_a_at_upper_bound,dcc_large_a_penalty_lambda,dcc_large_a_penalty_threshold,adcc_max_a,adcc_a_at_upper_bound,adcc_large_a_penalty_lambda,adcc_large_a_penalty_threshold,adcc_guardrail_triggered,adcc_ll_improvement_per_obs,update_success_rate,smoothness_mean,smoothness_75pct,successful_updates,total_updates,spd_projection_dates,garch_converged,garch_total,garch_convergence_rate,validation_checks_passed,validation_checks_total,overfitting_flag,status,block_label,block_id,country,block_key,series_covered,missing_series,already_assigned
usa_macro (USA:macro),2,6980,0.2,0.7799990296560236,0.9799990296560237,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.002547816772889025,0.00017811663164191138,6980,6980,0,2,2,1.0,3,3,False,completed,usa_macro (USA:macro),usa_macro,USA,macro,2,,
usa_real_estate (USA:real_estate),2,6980,0.19999982782420012,0.7799992313971825,0.9799990592213826,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.003035344973827143,0.00013707757363917716,6980,6980,0,2,2,1.0,3,3,False,completed,usa_real_estate (USA:real_estate),usa_real_estate,USA,real_estate,2,,
usa_public_finance (USA:public_finance),2,6980,0.2,0.7799990119222412,0.9799990119222413,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.007269759632862393,0.001287575621627457,6980,6980,0,2,2,1.0,3,3,False,completed,usa_public_finance (USA:public_finance),usa_public_finance,USA,public_finance,2,,
usa_external_fx (USA:external_fx),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.2,False,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.002448003794807061,0.00039969617674640023,6980,6980,0,2,2,1.0,3,3,False,completed,usa_external_fx (USA:external_fx),usa_external_fx,USA,external_fx,2,,
usa_financial_markets (USA:financial_markets),2,6980,0.199999922697466,0.7799989720632948,0.9799988947607609,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.015510715996156029,0.005799099451381129,6980,6980,0,2,2,1.0,3,3,False,completed,usa_financial_markets (USA:financial_markets),usa_financial_markets,USA,financial_markets,2,,
usa_banking_system (USA:banking_system),2,6980,0.2,0.7799990125299542,0.9799990125299542,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.01351482214244142,0.003868479633725136,5959,5959,0,2,2,1.0,3,3,False,completed,usa_banking_system (USA:banking_system),usa_banking_system,USA,banking_system,2,,
usa_systemic_stress (USA:systemic_stress),2,6980,0.19999999999911972,0.7331955040636128,0.9331955040627324,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.011238714372233208,0.003208404382894603,5980,5980,0,2,2,1.0,3,3,False,completed,usa_systemic_stress (USA:systemic_stress),usa_systemic_stress,USA,systemic_stress,2,,
usa_commodities (USA:commodities),2,6980,0.2,0.7799989999998023,0.9799989999998022,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.007070412812337675,0.0015831976682803006,6567,6567,0,2,2,1.0,3,3,False,completed,usa_commodities (USA:commodities),usa_commodities,USA,commodities,2,,
deu_macro (Germany:macro),2,6980,0.1999999999999999,0.7349325256616365,0.9349325256616363,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.0019731658491604024,0.00012556404145358524,6980,6980,0,2,2,1.0,3,3,False,completed,deu_macro (Germany:macro),deu_macro,Germany,macro,2,,
deu_real_estate (Germany:real_estate),2,6980,0.1999999675795516,0.7799989883971944,0.979998955976746,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.0022922055694157245,0.00010072884219330946,6720,6720,0,1,2,0.5,2,3,False,completed,deu_real_estate (Germany:real_estate),deu_real_estate,Germany,real_estate,2,,
deu_public_finance (Germany:public_finance),2,6980,0.2,0.7799990012503815,0.9799990012503814,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.031059656678194342,0.02083888492810637,6980,6980,0,2,2,1.0,3,3,False,completed,deu_public_finance (Germany:public_finance),deu_public_finance,Germany,public_finance,2,,
deu_external_fx (Germany:external_fx),2,6980,0.07563590166600465,0.9043628200245061,0.9799987216905107,,dcc,False,0.5,0.2,0.2,False,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.0071779835117406175,0.002338458176194491,6980,6980,0,2,2,1.0,3,3,False,completed,deu_external_fx (Germany:external_fx),deu_external_fx,Germany,external_fx,2,,
deu_financial_markets (Germany:financial_markets),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.2,False,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.0077046605598390045,0.006727713911949179,6980,6980,0,2,2,1.0,3,3,False,completed,deu_financial_markets (Germany:financial_markets),deu_financial_markets,Germany,financial_markets,2,,
deu_banking_system (Germany:banking_system),2,6980,0.2,0.7799990367118478,0.9799990367118478,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.004215947285521468,0.0008570843981487442,6980,6980,0,2,2,1.0,3,3,False,completed,deu_banking_system (Germany:banking_system),deu_banking_system,Germany,banking_system,2,,
deu_systemic_stress (Germany:systemic_stress),2,6980,0.2,0.7799990933270761,0.9799990933270761,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.009119088075189373,0.0017349546015094641,6980,6980,0,2,2,1.0,3,3,False,completed,deu_systemic_stress (Germany:systemic_stress),deu_systemic_stress,Germany,systemic_stress,2,,
deu_commodities (Germany:commodities),2,6980,0.2,0.7799989999998023,0.9799989999998022,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.007070412812337675,0.0015831976682803006,6567,6567,0,2,2,1.0,3,3,False,completed,deu_commodities (Germany:commodities),deu_commodities,Germany,commodities,2,,
fra_macro (France:macro),2,6980,0.19999956958580697,0.779998840083847,0.979998409669654,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.004749993071566266,0.00035097550862722704,6980,6980,0,2,2,1.0,3,3,False,completed,fra_macro (France:macro),fra_macro,France,macro,2,,
fra_real_estate (France:real_estate),2,6980,0.2,0.7799990816043764,0.9799990816043764,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.003477823379426087,9.605021933228874e-05,6720,6720,0,2,2,1.0,3,3,False,completed,fra_real_estate (France:real_estate),fra_real_estate,France,real_estate,2,,
fra_public_finance (France:public_finance),2,6980,0.19999999999999676,0.7111443368389082,0.911144336838905,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.023479203753056403,0.013105707054698795,6980,6980,0,2,2,1.0,3,3,False,completed,fra_public_finance (France:public_finance),fra_public_finance,France,public_finance,2,,
fra_external_fx (France:external_fx),2,6980,0.07563590166600465,0.9043628200245061,0.9799987216905107,,dcc,False,0.5,0.2,0.2,False,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.0071779835117406175,0.002338458176194491,6980,6980,0,2,2,1.0,3,3,False,completed,fra_external_fx (France:external_fx),fra_external_fx,France,external_fx,2,,
fra_financial_markets (France:financial_markets),2,6980,0.19999994074718416,0.7799989800134154,0.9799989207605996,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.019495201870975983,0.007512299820432888,6980,6980,0,2,2,1.0,3,3,False,completed,fra_financial_markets (France:financial_markets),fra_financial_markets,France,financial_markets,2,,
fra_banking_system (France:banking_system),2,6980,0.2,0.7705305350291441,0.9705305350291442,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.002960492347501668,0.0003889803549306792,6980,6980,0,2,2,1.0,3,3,False,completed,fra_banking_system (France:banking_system),fra_banking_system,France,banking_system,2,,
fra_systemic_stress (France:systemic_stress),2,6980,0.2,0.7799990933270761,0.9799990933270761,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.009119088075189373,0.0017349546015094641,6980,6980,0,2,2,1.0,3,3,False,completed,fra_systemic_stress (France:systemic_stress),fra_systemic_stress,France,systemic_stress,2,,
fra_commodities (France:commodities),2,6980,0.2,0.7799989999998023,0.9799989999998022,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.007070412812337675,0.0015831976682803006,6567,6567,0,2,2,1.0,3,3,False,completed,fra_commodities (France:commodities),fra_commodities,France,commodities,2,,
ita_macro (Italy:macro),2,6980,0.19999981053892044,0.7799989299494837,0.9799987404884042,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.004936457653004272,0.0005536889899258601,6980,6980,0,2,2,1.0,3,3,False,completed,ita_macro (Italy:macro),ita_macro,Italy,macro,2,,
