date,FRA_financial_markets_f1__FRA_financial_markets_f2
1999-02-01,-0.08451106566909825
1999-02-02,-0.23598589468759315
1999-02-03,-0.37601975190004605
1999-02-04,-0.48524447427206374
1999-02-05,-0.5704429387346531
1999-02-08,-0.6369016652139806
1999-02-09,-0.6887427974655635
1999-02-10,-0.7291813446362393
1999-02-11,-0.7607251161728613
1999-02-12,-0.7853303899709184
1999-02-15,-0.8045232350912139
1999-02-16,-0.8194941180155317
1999-02-17,-0.8311716963663761
1999-02-18,-0.8402803862657068
1999-02-19,-0.8473852735704019
1999-02-22,-0.8529271516653723
1999-02-23,-0.8572498560412626
1999-02-24,-0.8606215887552623
1999-02-25,-0.8632515538162225
1999-02-26,-0.8653029342728544
1999-03-01,-0.866903015286925
1999-03-02,-0.8778614450184082
1999-03-03,-0.8770155009825267
1999-03-04,-0.8763314952881937
1999-03-05,-0.8757825597205418
1999-03-08,-0.87534466023881
1999-03-09,-0.8749970041176308
1999-03-10,-0.874722038667907
1999-03-11,-0.8745052158093661
1999-03-12,-0.8743346441682273
1999-03-15,-0.8742007065060764
1999-03-16,-0.8740956879134215
1999-03-17,-0.8740134382634847
1999-03-18,-0.8739490785779945
1999-03-19,-0.8738987528288339
1999-03-22,-0.8738594223433765
1999-03-23,-0.8738286979749056
1999-03-24,-0.8738047045738766
1999-03-25,-0.873785972425507
1999-03-26,-0.8737713508188797
1999-03-29,-0.873759939556068
1999-03-30,-0.8737510348711984
1999-03-31,-0.8737440868449804
1999-04-01,-0.766438711080941
1999-04-02,-0.7674976125646173
1999-04-05,-0.7701534851769883
1999-04-06,-0.7737739160022488
1999-04-07,-0.7778388525794163
1999-04-08,-0.7819582294952117
1999-04-09,-0.7858679996444226
1999-04-12,-0.78941191568239
1999-04-13,-0.7925168683800209
1999-04-14,-0.7951679483570575
1999-04-15,-0.7973869538296599
1999-04-16,-0.7992158508587629
1999-04-19,-0.8007051815635542
1999-04-20,-0.8019066350807597
1999-04-21,-0.8028687510774164
1999-04-22,-0.8036347862842578
1999-04-23,-0.80424196383478
1999-04-26,-0.8047215370154093
1999-04-27,-0.8050992832254749
1999-04-28,-0.8053961848567692
1999-04-29,-0.8056291530105445
1999-04-30,-0.805811715569186
1999-05-03,-0.7538319422025501
1999-05-04,-0.778058174808305
1999-05-05,-0.7957801283628818
1999-05-06,-0.8089484076543028
1999-05-07,-0.8188467449767601
1999-05-10,-0.826351721563841
1999-05-11,-0.8320793341116418
1999-05-12,-0.836472303065812
1999-05-13,-0.8398544819615135
1999-05-14,-0.8424660822699326
1999-05-17,-0.8444872288759288
1999-05-18,-0.8460541513893316
1999-05-19,-0.847270575417879
1999-05-20,-0.8482158947577618
1999-05-21,-0.8489511301526513
1999-05-24,-0.8495233326699536
1999-05-25,-0.849968873472019
1999-05-26,-0.8503159234994692
1999-05-27,-0.8505863359344324
1999-05-28,-0.8507970834665446
1999-05-31,-0.8509613606508069
1999-06-01,-0.8497731887309585
1999-06-02,-0.8532844529261622
1999-06-03,-0.8560471053650105
1999-06-04,-0.8582166642291349
1999-06-07,-0.8599179389687158
1999-06-08,-0.8612504592452801
1999-06-09,-0.8622932055792096
1999-06-10,-0.8631086131780058
1999-06-11,-0.8637458918320712
1999-06-14,-0.8642437381067196
1999-06-15,-0.8646325268742115
1999-06-16,-0.864936067628275
1999-06-17,-0.8651730032753585
1999-06-18,-0.8653579189068841
1999-06-21,-0.8655022174924583
1999-06-22,-0.8656148095569738
1999-06-23,-0.8657026551828185
1999-06-24,-0.8657711892458962
1999-06-25,-0.8658246546087508
1999-06-28,-0.8658663629310182
1999-06-29,-0.8658988986619783
1999-06-30,-0.8659242784960562
