date,USA_financial_markets_f1__USA_financial_markets_f2
1999-02-01,-0.10510527466005379
1999-02-02,-0.2696716662572498
1999-02-03,-0.40251930434441213
1999-02-04,-0.5064217120602821
1999-02-05,-0.587637325049455
1999-02-08,-0.6510902762555054
1999-02-09,-0.7006474543699514
1999-02-10,-0.7393409740824427
1999-02-11,-0.7695456232539203
1999-02-12,-0.7931196799084359
1999-02-15,-0.811516225635653
1999-02-16,-0.8258708733748581
1999-02-17,-0.8370707471627872
1999-02-18,-0.8458086233997185
1999-02-19,-0.8526253666623554
1999-02-22,-0.8579431550010318
1999-02-23,-0.8620914720633805
1999-02-24,-0.8653274274827026
1999-02-25,-0.8678516351152564
1999-02-26,-0.8698206153141111
1999-03-01,-0.8713564792006068
1999-03-02,-0.866158976111961
1999-03-03,-0.8682383632490002
1999-03-04,-0.8699453655121507
1999-03-05,-0.8713291038151652
1999-03-08,-0.8724404869070249
1999-03-09,-0.873327006708077
1999-03-10,-0.874030506578858
1999-03-11,-0.8745865777454559
1999-03-12,-0.875024795036373
1999-03-15,-0.875369338621023
1999-03-16,-0.8756397495643337
1999-03-17,-0.8758516859363541
1999-03-18,-0.8760176151193173
1999-03-19,-0.8761474167244659
1999-03-22,-0.8762488914059418
1999-03-23,-0.8763281813088257
1999-03-24,-0.8763901124214989
1999-03-25,-0.8764384704025007
1999-03-26,-0.8764762210885674
1999-03-29,-0.8765056857604916
1999-03-30,-0.8765286798428945
1999-03-31,-0.8765466223037226
1999-04-01,-0.7258405920680409
1999-04-02,-0.7511341265253539
1999-04-05,-0.7732756078883121
1999-04-06,-0.7922525413210462
1999-04-07,-0.8082323712292774
1999-04-08,-0.8214917771552801
1999-04-09,-0.8323607135457196
1999-04-12,-0.8411816128169292
1999-04-13,-0.8482824863072805
1999-04-14,-0.8539613874161135
1999-04-15,-0.8584792665179426
1999-04-16,-0.8620584584188661
1999-04-19,-0.8648845785189796
1999-04-20,-0.8671102112647656
1999-04-21,-0.868859313415593
1999-04-22,-0.8702316725166842
1999-04-23,-0.871307056323199
1999-04-26,-0.8721488827024932
1999-04-27,-0.8728073580513815
1999-04-28,-0.8733220991406377
1999-04-29,-0.8737242868834489
1999-04-30,-0.8740384138531383
1999-05-03,-0.8295246243510821
1999-05-04,-0.8374058679151792
1999-05-05,-0.844412797180412
1999-05-06,-0.8504462385292347
1999-05-07,-0.8555224520788447
1999-05-10,-0.8597200721985278
1999-05-11,-0.8631458421430377
1999-05-12,-0.8659136086341832
1999-05-13,-0.8681323813016609
1999-05-14,-0.8699003237813285
1999-05-17,-0.8713024279882599
1999-05-18,-0.8724103313490736
1999-05-19,-0.8732832710395136
1999-05-20,-0.873969549947916
1999-05-21,-0.8745081469302856
1999-05-24,-0.8749302707457084
1999-05-25,-0.8752607602997862
1999-05-26,-0.8755192947124082
1999-05-27,-0.8757214105410607
1999-05-28,-0.875879340654659
1999-05-31,-0.8760026965868786
1999-06-01,-0.8774140903977189
1999-06-02,-0.8772284966274425
1999-06-03,-0.8770847515682537
1999-06-04,-0.8769732654324244
1999-06-07,-0.8768867001403067
1999-06-08,-0.8768194225008998
1999-06-09,-0.8767670957129818
1999-06-10,-0.8767263727831671
1999-06-11,-0.8766946652561326
1999-06-14,-0.876669967870241
1999-06-15,-0.8766507249859937
1999-06-16,-0.8766357284067396
1999-06-17,-0.876624038929157
1999-06-18,-0.8766149259275259
1999-06-21,-0.8766078207077064
1999-06-22,-0.8766022804174587
1999-06-23,-0.8765979600770479
1999-06-24,-0.8765945908737102
1999-06-25,-0.8765919632989744
1999-06-28,-0.8765899140370986
1999-06-29,-0.8765883157632727
1999-06-30,-0.8765870692016001
1999-07-01,-0.726248870503018
1999-07-02,-0.74437675839638
1999-07-05,-0.7604730462222582
1999-07-06,-0.7744583849931447
1999-07-07,-0.7863803886791796
1999-07-08,-0.7963783940454907
1999-07-09,-0.8046476504348357
1999-07-12,-0.8114086978355862
1999-07-13,-0.8168844666686619
1999-07-14,-0.8212852111955246
1999-07-15,-0.8248000389842505
1999-07-16,-0.8275933282797745
1999-07-19,-0.8298043951287591
1999-07-20,-0.8315490871680461
1999-07-21,-0.8329223497633111
1999-07-22,-0.8340011363581059
1999-07-23,-0.8348472852858144
1999-07-26,-0.8355101602054373
1999-07-27,-0.8360289645993348
1999-07-28,-0.836434708984906
1999-07-29,-0.8367518471698068
1999-07-30,-0.8369996161045702
1999-08-02,-0.8371931204299886
1999-08-03,-0.5067224871648136
1999-08-04,-0.5264011555671742
1999-08-05,-0.5503706249358192
1999-08-06,-0.5775180489222507
1999-08-09,-0.6067289433749219
1999-08-10,-0.6368944825610804
1999-08-11,-0.6669547590648625
1999-08-12,-0.6959604795966076
1999-08-13,-0.723133703114444
1999-08-16,-0.7479103746440816
1999-08-17,-0.7699544321604721
1999-08-18,-0.789142694543797
1999-08-19,-0.8055277164019061
1999-08-20,-0.8192896410045423
1999-08-23,-0.8306875687284194
1999-08-24,-0.840017728004899
1999-08-25,-0.847581858242369
1999-08-26,-0.8536661083379408
1999-08-27,-0.8585289209940562
1999-08-30,-0.8623956701656285
1999-08-31,-0.8654578526346612
1999-09-01,-0.8692158586564569
1999-09-02,-0.8708067486174879
1999-09-03,-0.8720743789193688
1999-09-06,-0.8730797808309565
1999-09-07,-0.8738743116105545
1999-09-08,-0.8745004134031065
1999-09-09,-0.874992690708528
1999-09-10,-0.875379071656054
1999-09-13,-0.8756819218163217
1999-09-14,-0.8759190459000674
1999-09-15,-0.8761045530866937
1999-09-16,-0.8762495846166578
1999-09-17,-0.8763629140785497
1999-09-20,-0.8764514359249541
1999-09-21,-0.8765205590324197
1999-09-22,-0.8765745213763482
1999-09-23,-0.8766166402003452
1999-09-24,-0.876649510040532
1999-09-27,-0.8766751589530755
1999-09-28,-0.8766951714519075
