label,n_series,n_observations,dcc_a,dcc_b,a_plus_b,adcc_gamma,correlation_model_used,garch_quality_gate_triggered,garch_quality_gate_min_convergence_rate,garch_quality_gate_shrinkage,dcc_max_a,dcc_a_at_upper_bound,dcc_large_a_penalty_lambda,dcc_large_a_penalty_threshold,adcc_max_a,adcc_a_at_upper_bound,adcc_large_a_penalty_lambda,adcc_large_a_penalty_threshold,adcc_guardrail_triggered,adcc_ll_improvement_per_obs,update_success_rate,smoothness_mean,smoothness_75pct,successful_updates,total_updates,spd_projection_dates,garch_converged,garch_total,garch_convergence_rate,validation_checks_passed,validation_checks_total,overfitting_flag,status,block_label,block_id,country,block_key,series_covered,missing_series,already_assigned
usa_macro (USA:macro),2,6980,0.29999996383939104,0.6799989865306043,0.9799989503699953,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.002775295197155229,0.00015832991993502965,6980,6980,0,2,2,1.0,3,3,False,completed,usa_macro (USA:macro),usa_macro,USA,macro,2,,
usa_real_estate (USA:real_estate),2,6980,0.29999960696685773,0.6799988536736078,0.9799984606404655,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0032254761778905626,0.00012888588616999375,6980,6980,0,2,2,1.0,3,3,False,completed,usa_real_estate (USA:real_estate),usa_real_estate,USA,real_estate,2,,
usa_public_finance (USA:public_finance),2,6980,0.29999991128471926,0.6799990999860301,0.9799990112707494,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007901607382505607,0.0010558601806266443,6980,6980,0,2,2,1.0,3,3,False,completed,usa_public_finance (USA:public_finance),usa_public_finance,USA,public_finance,2,,
usa_external_fx (USA:external_fx),2,6980,0.3,0.6799990773981063,0.9799990773981062,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.005511626455809646,0.0006222285918224268,6980,6980,0,2,2,1.0,3,3,False,completed,usa_external_fx (USA:external_fx),usa_external_fx,USA,external_fx,2,,
usa_financial_markets (USA:financial_markets),2,6980,0.2999999453871078,0.6799989802392884,0.9799989256263961,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.016862818115285845,0.004020271656992314,6980,6980,0,2,2,1.0,3,3,False,completed,usa_financial_markets (USA:financial_markets),usa_financial_markets,USA,financial_markets,2,,
usa_banking_system (USA:banking_system),2,6980,0.3,0.6799990439016298,0.9799990439016297,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.014566334605273056,0.0026287109251309365,5959,5959,0,2,2,1.0,3,3,False,completed,usa_banking_system (USA:banking_system),usa_banking_system,USA,banking_system,2,,
usa_systemic_stress (USA:systemic_stress),2,6980,0.29999999999916954,0.6422896254391444,0.942289625438314,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.013102562398018807,0.002864387124305201,5980,5980,0,2,2,1.0,3,3,False,completed,usa_systemic_stress (USA:systemic_stress),usa_systemic_stress,USA,systemic_stress,2,,
usa_commodities (USA:commodities),2,6980,0.29999999997516885,0.6762404015841791,0.976240401559348,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007636629158027432,0.001395845225634601,6567,6567,0,2,2,1.0,3,3,False,completed,usa_commodities (USA:commodities),usa_commodities,USA,commodities,2,,
deu_macro (Germany:macro),2,6980,0.29999999999999993,0.6189270487574992,0.9189270487574991,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0021835301455383417,0.00010962517085905121,6980,6980,0,2,2,1.0,3,3,False,completed,deu_macro (Germany:macro),deu_macro,Germany,macro,2,,
deu_real_estate (Germany:real_estate),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.3,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0011155039409030513,0.00014166470070076098,6720,6720,0,1,2,0.5,2,3,False,completed,deu_real_estate (Germany:real_estate),deu_real_estate,Germany,real_estate,2,,
