date,USA_public_finance_f1__USA_public_finance_f2
1999-02-01,-0.35038629579496333
1999-02-02,-0.5408466560618613
1999-02-03,-0.6638222075433655
1999-02-04,-0.7480875633911196
1999-02-05,-0.805691247879418
1999-02-08,-0.8450040202852395
1999-02-09,-0.8718031378109908
1999-02-10,-0.8900574578555959
1999-02-11,-0.90248475405834
1999-02-12,-0.9109419722649065
1999-02-15,-0.9166959629192925
1999-02-16,-0.920610102232187
1999-02-17,-0.9232723757212422
1999-02-18,-0.9250830257416642
1999-02-19,-0.9263144078903572
1999-02-22,-0.9271518122153822
1999-02-23,-0.9277212767296598
1999-02-24,-0.928108526112007
1999-02-25,-0.928371861829329
1999-02-26,-0.9285509328793548
1999-03-01,-0.9286727024191194
1999-03-02,-0.9225141577152027
1999-03-03,-0.9241771646474553
1999-03-04,-0.925521707769619
1999-03-05,-0.9265316776117154
1999-03-08,-0.9272617958101891
1999-03-09,-0.9277780479835768
1999-03-10,-0.9281381609264823
1999-03-11,-0.9283872029102952
1999-03-12,-0.9285584697343363
1999-03-15,-0.9286758157652232
1999-03-16,-0.9287560193277571
1999-03-17,-0.9288107462759939
1999-03-18,-0.9288480476867759
1999-03-19,-0.9288734528811223
1999-03-22,-0.9288907470034531
1999-03-23,-0.9289025155954888
1999-03-24,-0.9289105222054519
1999-03-25,-0.928915968532209
1999-03-26,-0.9289196728798715
1999-03-29,-0.9289221922261356
1999-03-30,-0.9289239055611306
1999-03-31,-0.9289250707114487
1999-04-01,-0.9178320738539433
1999-04-02,-0.9212404794608581
1999-04-05,-0.923644343284882
1999-04-06,-0.9253095775084285
1999-04-07,-0.9264536096815349
1999-04-08,-0.9272362469351274
1999-04-09,-0.9277704055443763
1999-04-12,-0.9281344803385205
1999-04-13,-0.9283824239489952
1999-04-14,-0.928551192118257
1999-04-15,-0.9286660296319427
1999-04-16,-0.9287441533046062
1999-04-19,-0.9287972930027232
1999-04-20,-0.9288334351414608
1999-04-21,-0.9288580150717177
1999-04-22,-0.9288747309266394
1999-04-23,-0.928886098396174
1999-04-26,-0.9288938285898728
1999-04-27,-0.9288990852645806
1999-04-28,-0.9289026598679356
1999-04-29,-0.9289050906270205
1999-04-30,-0.9289067435558117
1999-05-03,-0.9087309238240107
1999-05-04,-0.9145602191586358
1999-05-05,-0.9188841568764726
1999-05-06,-0.9219692583558534
1999-05-07,-0.9241282181852223
1999-05-10,-0.9256228819377129
1999-05-11,-0.9266510450248233
1999-05-12,-0.9273554992755518
1999-05-13,-0.9278369347703891
1999-05-14,-0.9281654095645269
1999-05-17,-0.9283892759994111
1999-05-18,-0.9285417366079712
1999-05-19,-0.9286455163686232
1999-05-20,-0.9287161357104661
1999-05-21,-0.9287641795068908
1999-05-24,-0.9287968597321095
1999-05-25,-0.9288190871008737
1999-05-26,-0.9288342039306768
1999-05-27,-0.9288444843962668
1999-05-28,-0.9288514755820378
1999-05-31,-0.9288562298032524
1999-06-01,-0.9054677191756435
1999-06-02,-0.9116465515474864
1999-06-03,-0.9165585726483899
1999-06-04,-0.9202116111727903
1999-06-07,-0.9228362942741067
1999-06-08,-0.9246849911651873
1999-06-09,-0.9259713421410886
1999-06-10,-0.9268594871990601
1999-06-11,-0.92746960626491
1999-06-14,-0.9278873364686279
1999-06-15,-0.9281727077893733
1999-06-16,-0.9283673673599552
1999-06-17,-0.9285000162728883
1999-06-18,-0.9285903470767602
1999-06-21,-0.9286518318736335
1999-06-22,-0.9286936691848497
1999-06-23,-0.9287221313270525
1999-06-24,-0.928741491479896
1999-06-25,-0.928754659104386
1999-06-28,-0.9287636143431536
1999-06-29,-0.9287697044828132
1999-06-30,-0.9287738460429619
1999-07-01,-0.8025469972235818
1999-07-02,-0.7738181226596857
1999-07-05,-0.7619841561907865
1999-07-06,-0.7610860456896397
1999-07-07,-0.7663406385070949
1999-07-08,-0.7742080946255124
1999-07-09,-0.7823990483187154
1999-07-12,-0.7896926861193966
1999-07-13,-0.7956268435740834
1999-07-14,-0.8001832600487833
1999-07-15,-0.8035489317775553
1999-07-16,-0.8059705275712777
1999-07-19,-0.8076818786432994
1999-07-20,-0.8088765642458243
1999-07-21,-0.8097036182473564
1999-07-22,-0.8102729099792927
1999-07-23,-0.810663252616866
1999-07-26,-0.810930187917195
1999-07-27,-0.8111124021655709
1999-07-28,-0.8112366318257525
1999-07-29,-0.8113212581279199
1999-07-30,-0.8113788735255422
1999-08-02,-0.8114180841579096
1999-08-03,0.29982885062697123
1999-08-04,0.43992555082874346
1999-08-05,0.5501750330289593
1999-08-06,0.6340832234587018
1999-08-09,0.6961541757585392
1999-08-10,0.7410352740767956
1999-08-11,0.7729240190736621
1999-08-12,0.7952895246093219
1999-08-13,0.810829526128949
1999-08-16,0.8215555187286792
1999-08-17,0.8289244334510844
1999-08-18,0.8339706734201154
1999-08-19,0.8374186630883644
1999-08-20,0.8397710064989854
1999-08-23,0.8413741837991601
1999-08-24,0.8424660071023581
1999-08-25,0.8432092173979582
1999-08-26,0.843714957043757
1999-08-27,0.8440590249595963
1999-08-30,0.844293067378918
1999-08-31,0.8444522514271677
1999-09-01,0.8084361656737771
1999-09-02,0.8121058531203423
1999-09-03,0.8184880011265931
1999-09-06,0.8254056073995211
1999-09-07,0.8316712672602085
1999-09-08,0.836812306379795
1999-09-09,0.8407777293890021
1999-09-10,0.8437144298585544
1999-09-13,0.845830617797909
1999-09-14,0.847327539470158
1999-09-15,0.8483731504679609
1999-09-16,0.8490972785555839
1999-09-17,0.8495958463847783
1999-09-20,0.8499377523589635
1999-09-21,0.8501715899206544
1999-09-22,0.8503312228606353
1999-09-23,0.8504400624708923
1999-09-24,0.8505142074205302
1999-09-27,0.8505646880324849
1999-09-28,0.8505990435554419
1999-09-29,0.8506224185850031
1999-09-30,0.8506383197393254
1999-10-01,0.8505475889461558
1999-10-04,0.8504518259071326
1999-10-05,0.8505254338961816
1999-10-06,0.8506426661291315
1999-10-07,0.8507544635785849
1999-10-08,0.8508456532559096
1999-10-11,0.8509147838172295
1999-10-12,0.8509651203261961
1999-10-13,0.85100089895225
1999-10-14,0.8510259485498474
1999-10-15,0.8510433163699815
1999-10-18,0.8510552813186506
1999-10-19,0.8510634891847622
1999-10-20,0.8510691037207163
1999-10-21,0.851072936960158
1999-10-22,0.8510755506654583
1999-10-25,0.8510773312695725
1999-10-26,0.8510785435989517
1999-10-27,0.8510793686848775
1999-10-28,0.8510799300676826
1999-10-29,0.8510803119578297
1999-11-01,0.8510805717123087
1999-11-02,0.7805136773178585
1999-11-03,0.8008257320913041
1999-11-04,0.8148931319207562
1999-11-05,0.8245793919682453
1999-11-08,0.8312226667112006
1999-11-09,0.8357665999305514
1999-11-10,0.8388688399972453
1999-11-11,0.840984116271036
1999-11-12,0.8424251753941031
1999-11-15,0.8434063341041652
1999-11-16,0.8440740956165405
1999-11-17,0.8445284388562287
1999-11-18,0.8448375149731749
1999-11-19,0.8450477434239836
1999-11-22,0.8451907249357822
1999-11-23,0.8452879644251201
1999-11-24,0.8453540928281689
1999-11-25,0.8453990626900146
1999-11-26,0.8454296433613199
1999-11-29,0.845450438747846
1999-11-30,0.845464579849795
1999-12-01,0.8361998133152309
1999-12-02,0.8380391430222607
1999-12-03,0.8392872397610917
1999-12-06,0.8401346898065295
1999-12-07,0.8407103655606206
1999-12-08,0.8411015491020335
1999-12-09,0.8413674253070376
1999-12-10,0.8415481613105722
1999-12-13,0.8416710339970137
1999-12-14,0.8417545745089994
1999-12-15,0.8418113760529837
1999-12-16,0.8418499983076076
1999-12-17,0.8418762601362744
1999-12-20,0.8418941175687589
1999-12-21,0.8419062603350951
1999-12-22,0.8419145172796246
1999-12-23,0.8419201319363646
1999-12-24,0.8419239498710227
1999-12-27,0.8419265460507277
1999-12-28,0.8419283114448445
1999-12-29,0.8419295119085975
1999-12-30,0.8419303282216407
1999-12-31,0.8419308833132076
2000-01-03,0.7458683879105978
2000-01-04,0.7271077186797528
2000-01-05,0.718108230463731
2000-01-06,0.7150570085717525
2000-01-07,0.7151675847724251
2000-01-10,0.716639988208379
2000-01-11,0.7184614491398251
2000-01-12,0.7201507979208893
2000-01-13,0.7215352576413934
2000-01-14,0.7225955235125205
2000-01-17,0.723374863766268
2000-01-18,0.723932948029136
2000-01-19,0.7243258319720198
2000-01-20,0.7245993057142247
2000-01-21,0.7247882262222743
2000-01-24,0.7249180726575515
2000-01-25,0.7250070105357593
2000-01-26,0.7250677865344497
2000-01-27,0.7251092525029174
2000-01-28,0.72513751342063
2000-01-31,0.725156760497188
2000-02-01,-0.5001129378845002
2000-02-02,-0.5347063665530031
2000-02-03,-0.5774666232501351
2000-02-04,-0.6258951567101493
2000-02-07,-0.6766708064199928
2000-02-08,-0.7262026792856996
2000-02-09,-0.7713539641162203
2000-02-10,-0.8100390504787413
2000-02-11,-0.841436265613503
2000-02-14,-0.8657951570493154
2000-02-15,-0.884028292911294
2000-02-16,-0.8973076120936473
2000-02-17,-0.9067850377380969
2000-02-18,-0.9134507693034933
2000-02-21,-0.9180905167943859
2000-02-22,-0.9212966466636625
2000-02-23,-0.9235009670613504
2000-02-24,-0.9250112412402275
2000-02-25,-0.9260435232590122
2000-02-28,-0.9267479406284473
2000-02-29,-0.9272280897870764
2000-03-01,-0.8667262535074626
2000-03-02,-0.8633445277712929
2000-03-03,-0.8674801381957654
2000-03-06,-0.875963292450719
2000-03-07,-0.886046290344367
2000-03-08,-0.8958211694717078
2000-03-09,-0.9042628665238274
2000-03-10,-0.9110264938691607
2000-03-13,-0.9161760530199903
2000-03-14,-0.9199610053128839
2000-03-15,-0.9226759776974934
2000-03-16,-0.9245909553676972
2000-03-17,-0.925926120434497
2000-03-20,-0.9268496654399269
2000-03-21,-0.9274850282580812
2000-03-22,-0.9279205141675908
2000-03-23,-0.9282182473944587
2000-03-24,-0.9284214510545257
2000-03-27,-0.9285599752724095
2000-03-28,-0.9286543319663099
2000-03-29,-0.9287185687055725
2000-03-30,-0.9287622840137447
2000-03-31,-0.9287920262952951
2000-04-03,-0.9158235669707369
2000-04-04,-0.9161651100014223
2000-04-05,-0.9180175040319011
2000-04-06,-0.9202905962260711
2000-04-07,-0.9224184848519335
2000-04-10,-0.9241794906461258
2000-04-11,-0.9255387850148209
2000-04-12,-0.9265437826116076
2000-04-13,-0.9272664819154113
2000-04-14,-0.9277767536126504
2000-04-17,-0.928132664906153
2000-04-18,-0.9283788821163815
2000-04-19,-0.9285482730962246
2000-04-20,-0.9286643738656262
2000-04-21,-0.9287437476677344
2000-04-24,-0.9287979191940973
2000-04-25,-0.928834847292392
2000-04-26,-0.9288600007509189
2000-04-27,-0.9288771247012473
2000-04-28,-0.9288887780519256
2000-05-01,-0.92889670652064
2000-05-02,-0.9255648250601414
2000-05-03,-0.9256454285732494
2000-05-04,-0.9261779690378775
2000-05-05,-0.9267977544703068
2000-05-08,-0.9273518932483373
2000-05-09,-0.9277948234612747
2000-05-10,-0.9281282069130501
2000-05-11,-0.9283703299876045
2000-05-12,-0.9285422802522335
2000-05-15,-0.9286626415031408
2000-05-16,-0.9287460935918211
2000-05-17,-0.9288035895623186
2000-05-18,-0.9288430347599206
2000-05-19,-0.9288700189460046
2000-05-22,-0.9288884430219658
2000-05-23,-0.9289010060467449
2000-05-24,-0.9289095649416107
2000-05-25,-0.9289153924092999
2000-05-26,-0.9289193585180581
2000-05-29,-0.928922057057798
2000-05-30,-0.9289238927974856
2000-05-31,-0.9289251414387826
2000-06-01,-0.9251557851265906
2000-06-02,-0.9258449042832394
2000-06-05,-0.9265837140630657
2000-06-06,-0.9272170166474898
2000-06-07,-0.9277102312567944
2000-06-08,-0.9280752256157782
2000-06-09,-0.928337333685242
2000-06-12,-0.9285220713111493
2000-06-13,-0.9286507231925402
2000-06-14,-0.9287396149100012
2000-06-15,-0.9288007148170694
2000-06-16,-0.9288425656606636
2000-06-19,-0.9288711645159201
2000-06-20,-0.9288906766677658
2000-06-21,-0.9289039749718911
2000-06-22,-0.9289130317129035
2000-06-23,-0.9289191967211037
2000-06-26,-0.928923391896206
2000-06-27,-0.9289262459873954
2000-06-28,-0.9289281874031176
2000-06-29,-0.9289295078583002
2000-06-30,-0.9289304059026985
2000-07-03,-0.9239262120291354
2000-07-04,-0.924964997240412
2000-07-05,-0.9259682723269553
2000-07-06,-0.9267919688627416
2000-07-07,-0.9274189440107078
2000-07-10,-0.9278766882148868
2000-07-11,-0.9282026329990853
2000-07-12,-0.9284311142491719
2000-07-13,-0.9285896601859913
2000-07-14,-0.928698946455542
2000-07-17,-0.9287739448083477
2000-07-18,-0.9288252603313355
2000-07-19,-0.9288603014540489
2000-07-20,-0.9288841972323105
2000-07-21,-0.9289004777286506
2000-07-24,-0.9289115629707858
2000-07-25,-0.9289191076407974
2000-07-26,-0.9289242411152946
2000-07-27,-0.9289277333095569
2000-07-28,-0.9289301086626722
2000-07-31,-0.9289317242077754
2000-08-01,-0.9272095640089439
2000-08-02,-0.9273947125277964
2000-08-03,-0.9277099180817321
2000-08-04,-0.9280174034440873
2000-08-07,-0.9282714682408032
2000-08-08,-0.9284656598412018
2000-08-09,-0.9286078240202799
2000-08-10,-0.9287092386441451
2000-08-11,-0.9287804149370769
2000-08-14,-0.9288298454609232
2000-08-15,-0.9288639369118751
2000-08-16,-0.9288873411130631
2000-08-17,-0.9289033588358387
2000-08-18,-0.9289142985150773
2000-08-21,-0.9289217595379996
2000-08-22,-0.9289268432298508
2000-08-23,-0.9289303048556796
2000-08-24,-0.9289326609412857
2000-08-25,-0.9289342640870744
2000-08-28,-0.9289353546917164
2000-08-29,-0.9289360965178283
2000-08-30,-0.9289366010587723
2000-08-31,-0.9289369441923351
2000-09-01,-0.9314513966988829
2000-09-04,-0.9304710616097397
2000-09-05,-0.9298865684022237
2000-09-06,-0.9295354115410586
2000-09-07,-0.9293210914279096
2000-09-08,-0.929187738868184
2000-09-11,-0.9291031492400887
2000-09-12,-0.9290485646189097
2000-09-13,-0.9290128440110552
2000-09-14,-0.9289892125641185
2000-09-15,-0.9289734517396827
2000-09-18,-0.9289628783432899
2000-09-19,-0.9289557554118851
2000-09-20,-0.9289509429195734
