,omega,alpha,beta,alpha_beta_sum,converged,loglikelihood,nu
USA_macro_f1,7.73247278084907e-05,0.9999752920793794,2.4983752262841552e-05,1.0000002758316422,True,-9155.634129445156,38.75226542696049
USA_macro_f2,0.0005558987633154713,0.9999999998378561,8.136275583486625e-15,0.9999999998378643,True,-8217.876755474455,85.20941082515307
USA_real_estate_f1,0.0009981626648152236,0.9999998479213769,5.20486223608763e-12,0.9999998479265817,True,-9599.630728453027,499.0840683421566
USA_real_estate_f2,0.0003469275935818854,0.9997565641595069,0.0002370640512699973,0.9999936282107769,True,-7258.098208038152,40.5728395552764
USA_public_finance_f1,0.00038725442299830974,0.9999999865778945,4.5945468808185736e-09,0.9999999911724413,True,-9086.969440383782,288.68124710790255
USA_public_finance_f2,0.00020131435380802969,0.9999999999682964,3.035457592820814e-11,0.999999999998651,True,-3727.2812787944467,44.44897401313153
USA_external_fx_f1,0.0005136945102034794,1.0,0.0,1.0,True,-10693.907654104802,302.56117606490074
USA_external_fx_f2,0.0016923851602175962,0.9999999995235622,5.39570645901697e-10,1.0000000000631328,True,-9268.154541882835,252.70107719660993
USA_financial_markets_f1,0.003290305751504611,1.0,0.0,1.0,True,-7350.808167447276,46.57689820235899
USA_financial_markets_f2,0.0017378341443870244,1.0,0.0,1.0,True,-5062.7075217995925,215.25923916242328
USA_banking_system_f1,0.00043674254662626807,0.9591556406915308,0.0,0.9591556406915308,True,-6737.684241173323,91.7466583625631
USA_banking_system_f2,4.895207448952732e-05,1.0,0.0,1.0,True,-1567.8001206316371,20.345747910301387
USA_systemic_stress_f1,0.0037099619779582585,0.9999999954897533,5.670132159145031e-09,1.0000000011598855,True,-6255.525838872283,49.25579182462584
USA_systemic_stress_f2,0.0012720944669832191,0.9999999999904221,1.1508947352061666e-11,1.0000000000019311,True,-2366.500381423531,78.52734959855911
USA_commodities_f1,0.006652517138749001,0.9999999999999833,1.9380281515445018e-14,1.0000000000000027,True,-12979.061011026597,245.68950340385803
USA_commodities_f2,0.003003454806859286,0.9999999983640255,1.4590262999520832e-09,0.9999999998230519,True,-7007.867144767826,220.7371148107228
DEU_macro_f1,0.0003847339899345345,0.9999999985198418,1.6427420431279296e-09,1.0000000001625837,True,-13849.990861468817,347.0512882909005
DEU_macro_f2,0.0011752194570655487,0.9999999999999996,4.958591520577518e-16,1.0,True,-6884.214639801378,499.9999999559332
DEU_real_estate_f1,0.0004527415515999727,0.9799957079994048,0.02173648942259326,1.0017321974219981,False,-8875.518908256054,432.65120753412236
DEU_real_estate_f2,0.001699865807282435,0.981513047733996,0.0002979673103839572,0.98181101504438,True,-5883.036262758851,92.75892747537587
DEU_public_finance_f1,0.00916068380397774,0.9999999999967637,3.002859546572889e-12,0.9999999999997665,True,-8679.04505537135,22.5303160410345
DEU_public_finance_f2,0.003344960967876547,0.9999999999215984,3.538949998133856e-11,0.9999999999569879,True,-7159.841181714811,30.07022515097406
DEU_external_fx_f1,0.0012950677551853396,1.0,0.0,1.0,True,-11558.747409531268,310.4391550267074
DEU_external_fx_f2,0.0012855954499185513,0.9999999995266219,5.1780684077100544e-11,0.9999999995784026,True,-7523.332305259133,59.88567080096042
