date,DCOILBRENTEU_FRACPIALLMINMEI,DCOILBRENTEU_MABMM301EZM189S,DCOILBRENTEU_NAEXKP01FRQ661S,DCOILBRENTEU_OAT_Bund_Spread,FRACPIALLMINMEI_MABMM301EZM189S,FRACPIALLMINMEI_NAEXKP01FRQ661S,FRACPIALLMINMEI_OAT_Bund_Spread,MABMM301EZM189S_NAEXKP01FRQ661S,MABMM301EZM189S_OAT_Bund_Spread,NAEXKP01FRQ661S_OAT_Bund_Spread
2022-12-31,0.7929552224060459,0.960555261097819,0.8492543772606926,-inf,0.7059679430694347,0.8919909825134581,,0.8375446397266324,inf,
2023-01-31,0.9030270053520564,0.9583404743377203,0.9979476257965625,,0.7984351688692858,0.8910783893002563,,0.9690968816177697,inf,inf
2023-02-28,0.95890591616626,0.9553317286827641,0.9981648731055331,-inf,0.8515066569062232,0.9402832396413322,,0.9671847260609328,-inf,
2023-03-31,0.9798879899540812,0.953609643619765,0.9988031007216126,inf,0.8829791484047838,0.9691807937329407,inf,0.9642484367028668,,
2023-04-30,0.9891136728801823,0.9539467980360197,0.999353046740157,,0.9042136829365942,0.9834054659007544,,0.9623819109599533,-inf,inf
2023-05-31,0.9937001129939965,0.9554544408819445,0.9996477489395958,inf,0.9194252079555211,0.9905974070928196,-inf,0.961944636124408,,
2023-06-30,0.9961804679588363,0.9574566749633405,0.9997861443855716,-inf,0.9307444526987769,0.9944000263189134,,0.9625618475247978,,-inf
2023-07-31,0.9976049113932615,0.9596046244745792,0.999845407231377,inf,0.9394330173956953,0.9964973493301122,,0.9638305752245382,-inf,inf
2023-08-31,0.9984602252771562,0.9617365863067836,0.9998666477882713,,0.9462841441000538,0.9976986837037098,-inf,0.9654603158295579,inf,
2023-09-30,0.9989915304963816,0.9637818332920046,0.9998696675380367,,0.9518134394645401,0.998410521895403,,0.9672617587725131,,
2023-10-31,0.9993303614457844,0.9657123183400341,0.9998636464538856,inf,0.9563656638484137,0.998845428753302,,0.969116196023511,,
2023-11-30,0.9995509309841928,0.9675200223180827,,,0.9601777303211398,,-inf,,inf,
2023-12-31,0.9996968366071319,0.9692063316063612,,-inf,0.9634167589203972,,inf,,,
2024-01-31,0.9997945512554162,0.9707769417822271,,inf,0.9662035424789871,,-inf,,-inf,
2024-02-29,0.9998605960866376,0.9722393478221683,,,0.968627344700963,,-inf,,,
2024-03-31,0.9999055204941537,,,,,,inf,,,
2024-04-30,0.9999361917492856,,,,,,-inf,,,
2024-05-31,0.999957153489194,,,,,,,,,
2024-06-30,0.9999714534695224,,,,,,,,,
2024-07-31,0.9999811597245046,,,,,,,,,
2024-08-31,0.999987688992273,,,inf,,,,,,
2024-09-30,0.9999920194227743,,,,,,-inf,,,
2024-10-31,0.9999948305079286,,,,,,inf,,,
2024-11-30,0.9999965964098656,,,-inf,,,inf,,,
2024-12-31,0.9999976489707809,,,,,,,,,
