date,DCOILBRENTEU_FRACPIALLMINMEI,DCOILBRENTEU_MABMM301EZM189S,DCOILBRENTEU_NAEXKP01FRQ661S,DCOILBRENTEU_OAT_Bund_Spread,FRACPIALLMINMEI_MABMM301EZM189S,FRACPIALLMINMEI_NAEXKP01FRQ661S,FRACPIALLMINMEI_OAT_Bund_Spread,MABMM301EZM189S_NAEXKP01FRQ661S,MABMM301EZM189S_OAT_Bund_Spread,NAEXKP01FRQ661S_OAT_Bund_Spread
2022-12-31,-0.9883445396659257,0.9881113647592148,-0.9881113396397913,,-0.9999988262979639,0.9999988260469025,,-0.9999999999991013,-inf,
2023-01-31,-0.988344539665914,0.9881113647592306,-0.9881113396395466,inf,-0.9999988262979493,0.999998826046613,inf,-1.0000000000019427,-inf,
2023-02-28,-0.9883445396659367,0.9881113647592077,-0.9881113396398046,inf,-0.999998826298091,0.999998826045242,,-1.0000000000011358,,-inf
2023-03-31,-0.9883445396659273,0.9881113647592457,-0.9881113396396999,inf,-0.9999988262979884,0.999998826045908,,-1.0000000000003846,inf,
2023-04-30,-0.9883445396659365,0.9881113647591877,-0.9881113396398912,-inf,-0.9999988262979621,0.9999988260462881,,-0.9999999999996673,,-inf
2023-05-31,-0.9883445396659186,0.9881113647591848,-0.9881113396394865,inf,-0.9999988262979282,0.9999988260468834,inf,-1.000000000001726,-inf,
2023-06-30,-0.988344539665925,0.9881113647592275,-0.9881113396391966,inf,-0.9999988262980002,0.9999988260463778,-inf,-0.9999999999992563,,inf
2023-07-31,-0.9883445396659324,0.9881113647592298,-0.9881113396396329,inf,-0.999998826298043,0.9999988260464204,,-1.0000000000013767,,
2023-08-31,-0.9883445396659353,0.9881113647592029,-0.9881113396396446,-inf,-0.9999988262979839,0.9999988260461339,inf,-1.0000000000002818,-inf,-inf
2023-09-30,-0.9883445396659557,0.9881113647591913,-0.9881113396401621,-inf,-0.9999988262979376,0.9999988260448508,-inf,-1.0000000000002713,,inf
2023-10-31,-0.9883445396659459,0.9881113647592307,-0.9881113396396062,-inf,-0.9999988262978832,0.9999988260477957,inf,-0.9999999999963891,inf,inf
2023-11-30,-0.9883445396659408,0.9881113647592209,,,-0.9999988262977605,,,,inf,
2023-12-31,-0.9883445396659433,0.9881113647591816,,-inf,-0.9999988262979894,,,,-inf,
2024-01-31,-0.9883445396659329,0.9881113647592408,,,-0.9999988262980579,,-inf,,,
2024-02-29,-0.9883445396659143,0.9881113647592078,,,-0.9999988262979018,,,,-inf,
2024-03-31,-0.9883445396659057,,,,,,inf,,,
2024-04-30,-0.9883445396659234,,,inf,,,,,,
2024-05-31,-0.988344539665924,,,-inf,,,,,,
2024-06-30,-0.9883445396659328,,,-inf,,,,,,
2024-07-31,-0.9883445396659343,,,inf,,,,,,
2024-08-31,-0.988344539665917,,,-inf,,,inf,,,
2024-09-30,-0.9883445396659186,,,,,,inf,,,
2024-10-31,-0.9883445396659293,,,-inf,,,,,,
2024-11-30,-0.9883445396659359,,,,,,,,,
2024-12-31,-0.98834453966589,,,,,,inf,,,
2025-01-31,-0.9883445396659601,,,-inf,,,inf,,,
2025-02-28,-0.988344539665898,,,,,,inf,,,
2025-03-31,-0.9883445396659233,,,,,,inf,,,
2025-04-30,-0.9883445396659195,,,inf,,,-inf,,,
2025-05-31,-0.9883445396659102,,,,,,inf,,,
2025-06-30,-0.9883445396659485,,,,,,,,,
2025-07-31,,,,inf,,,,,,
2025-08-31,,,,-inf,,,,,,
2025-09-30,,,,-inf,,,,,,
