period,value
1999-Q1,14.000000
1999-Q2,14.200000
1999-Q3,14.300000
1999-Q4,14.500000
2000-Q1,15.000000
2000-Q2,15.200000
2000-Q3,15.200000
2000-Q4,15.700000
2001-Q1,15.600000
2001-Q2,15.400000
2001-Q3,15.300000
2001-Q4,15.100000
2002-Q1,15.000000
2002-Q2,15.100000
2002-Q3,15.100000
2002-Q4,15.300000
2003-Q1,15.100000
2003-Q2,15.200000
2003-Q3,15.100000
2003-Q4,15.100000
2004-Q1,14.700000
2004-Q2,14.400000
2004-Q3,14.200000
2004-Q4,13.900000
2005-Q1,13.800000
2005-Q2,13.900000
2005-Q3,13.900000
2005-Q4,13.800000
2006-Q1,13.800000
2006-Q2,13.800000
2006-Q3,13.900000
2006-Q4,13.800000
2007-Q1,13.600000
2007-Q2,13.600000
2007-Q3,13.500000
2007-Q4,13.600000
2008-Q1,13.500000
2008-Q2,13.500000
2008-Q3,13.500000
2008-Q4,13.800000
2009-Q1,13.800000
2009-Q2,13.800000
2009-Q3,13.700000
2009-Q4,13.500000
2010-Q1,13.400000
2010-Q2,13.400000
2010-Q3,13.400000
2010-Q4,13.200000
2011-Q1,12.900000
2011-Q2,12.800000
2011-Q3,12.800000
2011-Q4,12.900000
2012-Q1,12.700000
2012-Q2,12.700000
2012-Q3,12.700000
2012-Q4,12.700000
2013-Q1,12.900000
2013-Q2,12.900000
2013-Q3,13.000000
2013-Q4,13.000000
2014-Q1,13.000000
2014-Q2,13.000000
2014-Q3,12.900000
2014-Q4,12.500000
2015-Q1,12.500000
2015-Q2,12.400000
2015-Q3,12.400000
2015-Q4,12.300000
2016-Q1,12.200000
2016-Q2,12.200000
2016-Q3,12.200000
2016-Q4,12.200000
2017-Q1,12.200000
2017-Q2,12.200000
2017-Q3,12.100000
2017-Q4,12.100000
2018-Q1,12.000000
2018-Q2,12.000000
2018-Q3,12.000000
2018-Q4,11.900000
2019-Q1,12.100000
2019-Q2,12.300000
2019-Q3,12.300000
2019-Q4,12.300000
2020-Q1,12.400000
2020-Q2,12.700000
2020-Q3,12.800000
2020-Q4,12.800000
2021-Q1,13.000000
2021-Q2,12.700000
2021-Q3,12.700000
2021-Q4,12.700000
2022-Q1,12.700000
2022-Q2,12.700000
2022-Q3,12.700000
2022-Q4,12.700000
2023-Q1,12.500000
2023-Q2,12.300000
2023-Q3,12.300000
2023-Q4,12.200000
2024-Q1,12.200000
2024-Q2,12.200000
2024-Q3,12.200000
2024-Q4,12.300000
2025-Q1,12.200000
2025-Q2,12.400000
