period,value
1999-Q1,8.800000
1999-Q2,8.900000
1999-Q3,8.900000
1999-Q4,9.500000
2000-Q1,9.300000
2000-Q2,9.600000
2000-Q3,9.800000
2000-Q4,10.000000
2001-Q1,10.000000
2001-Q2,10.000000
2001-Q3,10.000000
2001-Q4,10.100000
2002-Q1,10.000000
2002-Q2,10.200000
2002-Q3,10.000000
2002-Q4,10.100000
2003-Q1,10.000000
2003-Q2,10.000000
2003-Q3,9.900000
2003-Q4,10.200000
2004-Q1,10.200000
2004-Q2,10.400000
2004-Q3,10.500000
2004-Q4,10.800000
2005-Q1,10.800000
2005-Q2,10.900000
2005-Q3,10.900000
2005-Q4,11.000000
2006-Q1,10.900000
2006-Q2,11.100000
2006-Q3,11.200000
2006-Q4,11.600000
2007-Q1,11.800000
2007-Q2,12.000000
2007-Q3,12.400000
2007-Q4,13.200000
2008-Q1,13.500000
2008-Q2,13.500000
2008-Q3,13.800000
2008-Q4,13.600000
2009-Q1,13.100000
2009-Q2,13.100000
2009-Q3,12.800000
2009-Q4,12.600000
2010-Q1,12.700000
2010-Q2,12.700000
2010-Q3,12.800000
2010-Q4,12.900000
2011-Q1,12.900000
2011-Q2,13.000000
2011-Q3,13.100000
2011-Q4,13.200000
2012-Q1,13.200000
2012-Q2,13.100000
2012-Q3,13.100000
2012-Q4,13.100000
2013-Q1,13.000000
2013-Q2,12.900000
2013-Q3,12.700000
2013-Q4,12.500000
2014-Q1,12.500000
2014-Q2,12.300000
2014-Q3,12.300000
2014-Q4,12.000000
2015-Q1,11.800000
2015-Q2,11.600000
2015-Q3,11.500000
2015-Q4,11.300000
2016-Q1,11.200000
2016-Q2,11.100000
2016-Q3,11.000000
2016-Q4,10.700000
2017-Q1,10.600000
2017-Q2,10.400000
2017-Q3,10.200000
2017-Q4,10.100000
2018-Q1,10.000000
2018-Q2,10.000000
2018-Q3,9.900000
2018-Q4,9.800000
2019-Q1,9.700000
2019-Q2,9.900000
2019-Q3,9.800000
2019-Q4,9.800000
2020-Q1,9.900000
2020-Q2,10.300000
2020-Q3,10.400000
2020-Q4,10.400000
2021-Q1,10.400000
2021-Q2,10.200000
2021-Q3,9.900000
2021-Q4,9.800000
2022-Q1,9.700000
2022-Q2,9.600000
2022-Q3,9.600000
2022-Q4,9.800000
2023-Q1,9.600000
2023-Q2,9.800000
2023-Q3,9.700000
2023-Q4,9.800000
2024-Q1,9.600000
2024-Q2,9.600000
2024-Q3,9.400000
2024-Q4,9.300000
2025-Q1,9.300000
2025-Q2,9.200000
