period,value
1999-Q1,45.200000
1999-Q2,45.600000
1999-Q3,45.700000
1999-Q4,46.200000
2000-Q1,47.000000
2000-Q2,48.100000
2000-Q3,50.000000
2000-Q4,49.400000
2001-Q1,50.300000
2001-Q2,50.300000
2001-Q3,50.500000
2001-Q4,50.500000
2002-Q1,50.900000
2002-Q2,49.500000
2002-Q3,49.100000
2002-Q4,49.000000
2003-Q1,48.800000
2003-Q2,47.400000
2003-Q3,46.700000
2003-Q4,45.600000
2004-Q1,45.400000
2004-Q2,43.900000
2004-Q3,44.200000
2004-Q4,44.400000
2005-Q1,44.900000
2005-Q2,43.700000
2005-Q3,43.700000
2005-Q4,44.100000
2006-Q1,44.300000
2006-Q2,43.500000
2006-Q3,43.600000
2006-Q4,44.000000
2007-Q1,43.800000
2007-Q2,43.300000
2007-Q3,43.200000
2007-Q4,42.900000
2008-Q1,43.800000
2008-Q2,44.300000
2008-Q3,45.200000
2008-Q4,45.500000
2009-Q1,45.600000
2009-Q2,46.100000
2009-Q3,45.800000
2009-Q4,45.500000
2010-Q1,45.400000
2010-Q2,45.500000
2010-Q3,45.500000
2010-Q4,46.400000
2011-Q1,46.600000
2011-Q2,47.400000
2011-Q3,48.500000
2011-Q4,49.200000
2012-Q1,50.300000
2012-Q2,52.300000
2012-Q3,53.000000
2012-Q4,53.900000
2013-Q1,54.000000
2013-Q2,53.500000
2013-Q3,53.300000
2013-Q4,52.700000
2014-Q1,53.400000
2014-Q2,53.600000
2014-Q3,53.900000
2014-Q4,53.900000
2015-Q1,54.600000
2015-Q2,52.600000
2015-Q3,52.900000
2015-Q4,53.300000
2016-Q1,53.100000
2016-Q2,54.200000
2016-Q3,54.600000
2016-Q4,55.000000
2017-Q1,55.400000
2017-Q2,57.100000
2017-Q3,56.900000
2017-Q4,57.600000
2018-Q1,58.300000
2018-Q2,57.600000
2018-Q3,57.600000
2018-Q4,56.800000
2019-Q1,57.100000
2019-Q2,55.200000
2019-Q3,55.300000
2019-Q4,55.300000
2020-Q1,57.400000
2020-Q2,65.900000
2020-Q3,69.100000
2020-Q4,68.500000
2021-Q1,65.000000
2021-Q2,60.400000
2021-Q3,57.700000
2021-Q4,58.700000
2022-Q1,59.900000
2022-Q2,57.400000
2022-Q3,58.400000
2022-Q4,58.200000
2023-Q1,58.100000
2023-Q2,56.000000
2023-Q3,55.600000
2023-Q4,54.900000
2024-Q1,54.900000
2024-Q2,55.300000
2024-Q3,55.600000
2024-Q4,56.500000
2025-Q1,57.800000
2025-Q2,58.000000
