period,value
1999-Q1,43.000000
1999-Q2,43.300000
1999-Q3,44.000000
1999-Q4,44.600000
2000-Q1,45.400000
2000-Q2,46.200000
2000-Q3,46.600000
2000-Q4,47.000000
2001-Q1,47.000000
2001-Q2,47.100000
2001-Q3,47.000000
2001-Q4,46.700000
2002-Q1,46.200000
2002-Q2,45.600000
2002-Q3,45.000000
2002-Q4,44.100000
2003-Q1,43.400000
2003-Q2,42.800000
2003-Q3,42.200000
2003-Q4,41.700000
2004-Q1,41.400000
2004-Q2,41.000000
2004-Q3,40.700000
2004-Q4,40.600000
2005-Q1,40.500000
2005-Q2,40.300000
2005-Q3,40.200000
2005-Q4,40.100000
2006-Q1,40.000000
2006-Q2,40.500000
2006-Q3,40.700000
2006-Q4,41.400000
2007-Q1,42.100000
2007-Q2,42.800000
2007-Q3,43.600000
2007-Q4,44.200000
2008-Q1,44.400000
2008-Q2,44.600000
2008-Q3,44.300000
2008-Q4,43.700000
2009-Q1,43.000000
2009-Q2,42.800000
2009-Q3,42.600000
2009-Q4,42.000000
2010-Q1,41.400000
2010-Q2,40.300000
2010-Q3,39.300000
2010-Q4,38.500000
2011-Q1,38.300000
2011-Q2,38.100000
2011-Q3,38.100000
2011-Q4,38.000000
2012-Q1,37.700000
2012-Q2,37.600000
2012-Q3,37.600000
2012-Q4,37.600000
2013-Q1,37.300000
2013-Q2,37.300000
2013-Q3,37.300000
2013-Q4,37.300000
2014-Q1,37.600000
2014-Q2,37.800000
2014-Q3,37.800000
2014-Q4,37.900000
2015-Q1,37.900000
2015-Q2,38.200000
2015-Q3,38.500000
2015-Q4,39.000000
2016-Q1,39.600000
2016-Q2,40.100000
2016-Q3,40.700000
2016-Q4,40.800000
2017-Q1,41.200000
2017-Q2,41.400000
2017-Q3,41.300000
2017-Q4,41.100000
2018-Q1,40.300000
2018-Q2,39.800000
2018-Q3,39.000000
2018-Q4,38.700000
2019-Q1,39.300000
2019-Q2,39.900000
2019-Q3,40.400000
2019-Q4,40.700000
2020-Q1,41.900000
2020-Q2,43.100000
2020-Q3,42.500000
2020-Q4,42.400000
2021-Q1,42.200000
2021-Q2,41.300000
2021-Q3,40.900000
2021-Q4,40.700000
2022-Q1,40.900000
2022-Q2,40.800000
2022-Q3,40.500000
2022-Q4,40.100000
2023-Q1,39.800000
2023-Q2,39.300000
2023-Q3,38.900000
2023-Q4,38.400000
2024-Q1,38.600000
2024-Q2,38.600000
2024-Q3,38.600000
2024-Q4,38.100000
2025-Q1,37.900000
2025-Q2,37.600000
