period,value
1999-Q1,30.700000
1999-Q2,31.200000
1999-Q3,31.600000
1999-Q4,32.700000
2000-Q1,33.700000
2000-Q2,34.600000
2000-Q3,34.800000
2000-Q4,36.300000
2001-Q1,34.600000
2001-Q2,33.300000
2001-Q3,32.200000
2001-Q4,31.300000
2002-Q1,32.000000
2002-Q2,32.300000
2002-Q3,32.400000
2002-Q4,32.900000
2003-Q1,33.000000
2003-Q2,34.100000
2003-Q3,34.100000
2003-Q4,34.100000
2004-Q1,32.300000
2004-Q2,31.000000
2004-Q3,30.000000
2004-Q4,29.000000
2005-Q1,29.200000
2005-Q2,29.200000
2005-Q3,29.300000
2005-Q4,29.100000
2006-Q1,28.900000
2006-Q2,28.900000
2006-Q3,29.000000
2006-Q4,28.400000
2007-Q1,27.700000
2007-Q2,27.700000
2007-Q3,27.200000
2007-Q4,27.700000
2008-Q1,27.800000
2008-Q2,28.100000
2008-Q3,28.600000
2008-Q4,29.700000
2009-Q1,30.700000
2009-Q2,31.300000
2009-Q3,30.800000
2009-Q4,30.300000
2010-Q1,29.500000
2010-Q2,29.400000
2010-Q3,29.400000
2010-Q4,29.000000
2011-Q1,27.900000
2011-Q2,27.500000
2011-Q3,27.400000
2011-Q4,27.900000
2012-Q1,27.700000
2012-Q2,28.200000
2012-Q3,28.600000
2012-Q4,29.000000
2013-Q1,30.100000
2013-Q2,30.300000
2013-Q3,30.500000
2013-Q4,30.600000
2014-Q1,30.500000
2014-Q2,30.900000
2014-Q3,30.800000
2014-Q4,29.600000
2015-Q1,29.600000
2015-Q2,29.400000
2015-Q3,29.300000
2015-Q4,29.100000
2016-Q1,29.100000
2016-Q2,28.500000
2016-Q3,28.700000
2016-Q4,28.700000
2017-Q1,28.700000
2017-Q2,29.400000
2017-Q3,29.200000
2017-Q4,29.400000
2018-Q1,29.100000
2018-Q2,28.800000
2018-Q3,29.100000
2018-Q4,29.000000
2019-Q1,29.500000
2019-Q2,30.400000
2019-Q3,30.600000
2019-Q4,30.800000
2020-Q1,31.600000
2020-Q2,33.800000
2020-Q3,34.000000
2020-Q4,33.800000
2021-Q1,33.800000
2021-Q2,31.700000
2021-Q3,31.500000
2021-Q4,31.300000
2022-Q1,31.400000
2022-Q2,31.100000
2022-Q3,31.300000
2022-Q4,31.400000
2023-Q1,30.400000
2023-Q2,29.900000
2023-Q3,29.700000
2023-Q4,29.400000
2024-Q1,30.000000
2024-Q2,30.500000
2024-Q3,31.100000
2024-Q4,31.700000
2025-Q1,31.900000
2025-Q2,32.500000
