period,value
2002-Q1,14.600000
2002-Q2,11.600000
2002-Q3,10.700000
2002-Q4,9.800000
2003-Q1,10.100000
2003-Q2,8.900000
2003-Q3,7.700000
2003-Q4,6.700000
2004-Q1,6.200000
2004-Q2,6.600000
2004-Q3,6.600000
2004-Q4,6.000000
2005-Q1,5.600000
2005-Q2,5.200000
2005-Q3,5.000000
2005-Q4,5.800000
2006-Q1,6.100000
2006-Q2,6.700000
2006-Q3,8.300000
2006-Q4,8.200000
2007-Q1,7.900000
2007-Q2,7.900000
2007-Q3,8.000000
2007-Q4,8.100000
2008-Q1,8.600000
2008-Q2,9.200000
2008-Q3,9.700000
2008-Q4,11.100000
2009-Q1,10.300000
2009-Q2,8.600000
2009-Q3,8.000000
2009-Q4,7.200000
2010-Q1,7.000000
2010-Q2,7.300000
2010-Q3,7.100000
2010-Q4,7.300000
2011-Q1,7.400000
2011-Q2,8.400000
2011-Q3,9.700000
2011-Q4,10.300000
2012-Q1,10.800000
2012-Q2,10.500000
2012-Q3,10.500000
2012-Q4,9.600000
2013-Q1,9.200000
2013-Q2,9.100000
2013-Q3,9.900000
2013-Q4,10.300000
2014-Q1,12.000000
2014-Q2,12.100000
2014-Q3,11.200000
2014-Q4,11.500000
2015-Q1,12.000000
2015-Q2,12.700000
2015-Q3,13.900000
2015-Q4,14.200000
2016-Q1,14.300000
2016-Q2,14.200000
2016-Q3,13.900000
2016-Q4,14.200000
2017-Q1,14.400000
2017-Q2,15.000000
2017-Q3,15.200000
2017-Q4,15.600000
2018-Q1,16.400000
2018-Q2,17.900000
2018-Q3,27.100000
2018-Q4,26.700000
2019-Q1,21.400000
2019-Q2,22.300000
2019-Q3,17.700000
2019-Q4,13.700000
2020-Q1,12.400000
2020-Q2,12.400000
2020-Q3,14.400000
2020-Q4,17.100000
2021-Q1,19.300000
2021-Q2,19.100000
2021-Q3,17.900000
2021-Q4,19.300000
2022-Q1,20.700000
2022-Q2,19.500000
2022-Q3,19.100000
2022-Q4,13.800000
2023-Q1,12.300000
2023-Q2,14.000000
2023-Q3,21.900000
2023-Q4,29.800000
2024-Q1,31.100000
2024-Q2,34.100000
2024-Q3,31.000000
2024-Q4,28.900000
2025-Q1,28.700000
2025-Q2,31.400000
