period,value
1999-Q1,34.200000
1999-Q2,35.200000
1999-Q3,36.700000
1999-Q4,39.200000
2000-Q1,40.100000
2000-Q2,42.100000
2000-Q3,44.500000
2000-Q4,44.500000
2001-Q1,45.500000
2001-Q2,45.800000
2001-Q3,47.700000
2001-Q4,48.500000
2002-Q1,48.700000
2002-Q2,48.200000
2002-Q3,48.500000
2002-Q4,48.300000
2003-Q1,48.000000
2003-Q2,47.800000
2003-Q3,47.700000
2003-Q4,49.800000
2004-Q1,50.700000
2004-Q2,52.200000
2004-Q3,52.600000
2004-Q4,53.700000
2005-Q1,54.400000
2005-Q2,55.700000
2005-Q3,57.400000
2005-Q4,59.000000
2006-Q1,60.500000
2006-Q2,60.900000
2006-Q3,62.800000
2006-Q4,65.800000
2007-Q1,66.500000
2007-Q2,69.000000
2007-Q3,70.100000
2007-Q4,69.600000
2008-Q1,68.900000
2008-Q2,66.800000
2008-Q3,64.100000
2008-Q4,61.900000
2009-Q1,61.800000
2009-Q2,59.800000
2009-Q3,57.300000
2009-Q4,55.500000
2010-Q1,54.500000
2010-Q2,55.700000
2010-Q3,56.400000
2010-Q4,56.200000
2011-Q1,55.900000
2011-Q2,56.500000
2011-Q3,56.400000
2011-Q4,56.600000
2012-Q1,57.000000
2012-Q2,56.600000
2012-Q3,56.000000
2012-Q4,52.200000
2013-Q1,51.000000
2013-Q2,49.500000
2013-Q3,48.200000
2013-Q4,47.900000
2014-Q1,46.700000
2014-Q2,47.800000
2014-Q3,47.000000
2014-Q4,44.000000
2015-Q1,43.100000
2015-Q2,41.200000
2015-Q3,40.000000
2015-Q4,40.800000
2016-Q1,39.900000
2016-Q2,38.400000
2016-Q3,37.800000
2016-Q4,37.700000
2017-Q1,37.400000
2017-Q2,36.900000
2017-Q3,36.300000
2017-Q4,35.300000
2018-Q1,34.800000
2018-Q2,34.300000
2018-Q3,34.100000
2018-Q4,33.900000
2019-Q1,34.000000
2019-Q2,33.800000
2019-Q3,34.000000
2019-Q4,33.400000
2020-Q1,34.700000
2020-Q2,40.900000
2020-Q3,40.900000
2020-Q4,42.600000
2021-Q1,43.800000
2021-Q2,42.700000
2021-Q3,43.200000
2021-Q4,43.500000
2022-Q1,41.300000
2022-Q2,39.200000
2022-Q3,37.900000
2022-Q4,35.800000
2023-Q1,35.200000
2023-Q2,34.400000
2023-Q3,34.400000
2023-Q4,35.200000
2024-Q1,35.800000
2024-Q2,35.600000
2024-Q3,35.400000
2024-Q4,33.800000
2025-Q1,33.400000
2025-Q2,33.200000
