period,value
1999-Q1,26.700000
1999-Q2,27.300000
1999-Q3,27.200000
1999-Q4,28.700000
2000-Q1,27.700000
2000-Q2,28.200000
2000-Q3,28.300000
2000-Q4,28.800000
2001-Q1,28.700000
2001-Q2,28.400000
2001-Q3,28.900000
2001-Q4,29.600000
2002-Q1,29.500000
2002-Q2,30.300000
2002-Q3,29.400000
2002-Q4,29.700000
2003-Q1,29.400000
2003-Q2,29.200000
2003-Q3,29.000000
2003-Q4,29.700000
2004-Q1,29.300000
2004-Q2,29.900000
2004-Q3,29.700000
2004-Q4,30.700000
2005-Q1,31.100000
2005-Q2,30.300000
2005-Q3,30.000000
2005-Q4,30.400000
2006-Q1,29.900000
2006-Q2,30.800000
2006-Q3,31.300000
2006-Q4,32.700000
2007-Q1,33.400000
2007-Q2,34.500000
2007-Q3,35.700000
2007-Q4,38.600000
2008-Q1,40.300000
2008-Q2,40.200000
2008-Q3,41.100000
2008-Q4,41.200000
2009-Q1,41.500000
2009-Q2,43.300000
2009-Q3,42.400000
2009-Q4,40.900000
2010-Q1,40.400000
2010-Q2,40.300000
2010-Q3,40.100000
2010-Q4,40.000000
2011-Q1,39.800000
2011-Q2,39.800000
2011-Q3,39.800000
2011-Q4,40.100000
2012-Q1,40.700000
2012-Q2,41.200000
2012-Q3,41.600000
2012-Q4,42.100000
2013-Q1,42.000000
2013-Q2,42.900000
2013-Q3,42.100000
2013-Q4,41.000000
2014-Q1,40.800000
2014-Q2,40.300000
2014-Q3,40.400000
2014-Q4,39.500000
2015-Q1,39.500000
2015-Q2,39.100000
2015-Q3,38.600000
2015-Q4,37.400000
2016-Q1,36.400000
2016-Q2,35.100000
2016-Q3,34.200000
2016-Q4,32.700000
2017-Q1,32.300000
2017-Q2,31.600000
2017-Q3,31.000000
2017-Q4,30.600000
2018-Q1,30.300000
2018-Q2,30.100000
2018-Q3,29.600000
2018-Q4,29.400000
2019-Q1,29.000000
2019-Q2,29.100000
2019-Q3,28.900000
2019-Q4,28.700000
2020-Q1,29.700000
2020-Q2,32.600000
2020-Q3,33.500000
2020-Q4,33.700000
2021-Q1,32.800000
2021-Q2,30.000000
2021-Q3,28.600000
2021-Q4,28.000000
2022-Q1,27.000000
2022-Q2,26.300000
2022-Q3,25.800000
2022-Q4,26.100000
2023-Q1,25.200000
2023-Q2,25.300000
2023-Q3,25.000000
2023-Q4,25.500000
2024-Q1,25.200000
2024-Q2,25.500000
2024-Q3,25.100000
2024-Q4,25.500000
2025-Q1,25.800000
2025-Q2,25.900000
