Date,Value
1991-02-01,9.95
1991-02-04,9.93
1991-02-05,9.78
1991-02-06,9.71
1991-02-07,9.55
1991-02-08,9.53
1991-02-11,9.41
1991-02-12,9.5
1991-02-13,9.16
1991-02-14,9.24
1991-02-15,9.25
1991-02-18,9.2
1991-02-19,9.2
1991-02-20,9.28
1991-02-21,9.28
1991-02-22,9.28
1991-02-25,9.23
1991-02-26,9.32
1991-02-27,9.28
1991-02-28,9.18
1991-03-01,9.23
1991-03-04,9.26
1991-03-05,9.23
1991-03-06,9.24
1991-03-07,9.19
1991-03-08,9.11
1991-03-11,9.1
1991-03-12,9.1
1991-03-13,9.16
1991-03-14,9.11
1991-03-15,9.13
1991-03-18,9.22
1991-03-19,9.33
1991-03-20,9.28
1991-03-21,9.23
1991-03-22,9.22
1991-03-25,9.22
1991-03-26,9.26
1991-03-27,9.21
1991-03-28,9.22
1991-03-29,9.19
1991-04-01,9.19
1991-04-02,9.18
1991-04-03,9.18
1991-04-04,9.2
1991-04-05,9.13
1991-04-08,9.07
1991-04-09,9.1
1991-04-10,9.12
1991-04-11,9.07
1991-04-12,9.03
1991-04-15,9.02
1991-04-16,9.03
1991-04-17,9.04
1991-04-18,9.04
1991-04-19,9.07
1991-04-22,9.11
1991-04-23,9.07
1991-04-24,9.08
1991-04-25,9.08
1991-04-26,9.11
1991-04-29,9.04
1991-04-30,9.03
1991-05-01,9.03
1991-05-02,8.92
1991-05-03,8.93
1991-05-06,8.94
1991-05-07,8.95
1991-05-08,8.95
1991-05-09,8.95
1991-05-10,8.92
1991-05-13,8.93
1991-05-14,8.98
1991-05-15,9.01
1991-05-16,8.94
1991-05-17,8.93
1991-05-20,8.93
1991-05-21,8.94
1991-05-22,8.94
1991-05-23,9.0
1991-05-24,8.98
1991-05-27,9.04
1991-05-28,9.01
1991-05-29,8.98
1991-05-30,8.97
1991-05-31,8.94
1991-06-03,9.02
1991-06-04,9.07
1991-06-05,9.06
1991-06-06,9.09
1991-06-07,9.1
1991-06-10,9.13
1991-06-11,9.14
1991-06-12,9.22
1991-06-13,9.22
1991-06-14,9.22
1991-06-17,9.22
1991-06-18,9.28
1991-06-19,9.31
1991-06-20,9.28
1991-06-21,9.28
1991-06-24,9.35
1991-06-25,9.4
1991-06-26,9.33
1991-06-27,9.23
1991-06-28,9.23
1991-07-01,9.23
1991-07-02,9.3
1991-07-03,9.32
1991-07-04,9.31
1991-07-05,9.36
1991-07-08,9.35
1991-07-09,9.33
1991-07-10,9.28
1991-07-11,9.23
1991-07-12,9.21
1991-07-15,9.22
1991-07-16,9.26
1991-07-17,9.21
1991-07-18,9.27
1991-07-19,9.23
1991-07-22,9.26
1991-07-23,9.27
1991-07-24,9.33
1991-07-25,9.33
1991-07-26,9.4
1991-07-29,9.42
1991-07-30,9.4
1991-07-31,9.43
1991-08-01,9.39
1991-08-02,9.38
1991-08-05,9.39
1991-08-06,9.36
1991-08-07,9.31
1991-08-08,9.35
1991-08-09,9.33
1991-08-12,9.36
1991-08-13,9.34
1991-08-14,9.3
1991-08-15,9.3
1991-08-16,9.3
1991-08-19,9.36
1991-08-20,9.34
1991-08-21,9.3
1991-08-22,9.25
1991-08-23,9.23
1991-08-26,9.22
1991-08-27,9.24
1991-08-28,9.18
1991-08-29,9.14
1991-08-30,9.17
1991-09-02,9.15
1991-09-03,9.15
1991-09-04,9.14
1991-09-05,9.16
1991-09-06,9.08
1999-01-04,3.345
1999-01-05,3.33
1999-01-06,3.33
1999-01-07,3.336
1999-01-08,3.318
1999-01-11,3.314
1999-01-12,3.333
1999-01-13,3.22
1999-01-14,3.23
1999-01-15,3.2
1999-01-18,3.21
1999-01-19,3.18
1999-01-20,3.23
1999-01-21,3.215
1999-01-22,3.213
1999-01-25,3.149
1999-01-26,3.231
1999-01-27,3.26
1999-01-28,3.231
1999-01-29,3.243
1999-02-01,3.31
