Date,Value
2002-03-06,5.64
2002-03-08,5.657
2002-03-11,5.651
2002-03-12,5.651
2002-03-13,5.668
2002-03-14,5.697
2002-03-15,5.684
2002-03-18,5.664
2002-03-19,5.672
2002-03-20,5.71
2002-03-22,5.715
2002-03-25,5.735
2002-03-26,5.694
2002-03-27,5.698
2002-03-28,5.736
2002-03-29,5.726
2002-04-01,5.726
2002-04-02,5.729
2002-04-03,5.676
2002-04-04,5.619
2002-04-05,5.619
2002-04-08,5.672
2002-04-09,5.664
2002-04-10,5.681
2002-04-11,5.638
2002-04-12,5.64
2002-04-15,5.609
2002-04-16,5.676
2002-04-17,5.704
2002-04-18,5.695
2002-04-19,5.697
2002-04-22,5.663
2002-04-23,5.695
2002-04-24,5.658
2002-04-25,5.616
2002-04-26,5.591
2002-04-29,5.649
2002-04-30,5.638
2002-05-01,5.619
2002-05-02,5.673
2002-05-03,5.59
2002-05-06,5.599
2002-05-07,5.599
2002-05-08,5.659
2002-05-09,5.68
2002-05-10,5.677
2002-05-13,5.689
2002-05-14,5.73
2002-05-15,5.695
2002-05-16,5.673
2002-05-17,5.699
2002-05-20,5.632
2002-05-21,5.64
2002-05-22,5.629
2002-05-23,5.589
2002-05-24,5.629
2002-05-27,5.654
2002-05-28,5.626
2002-05-29,5.606
2002-05-30,5.61
2002-05-31,5.656
2002-06-03,5.594
2002-06-05,5.59
2002-06-06,5.585
2002-06-07,5.611
2002-06-10,5.582
2002-06-11,5.583
2002-06-12,5.545
2002-06-13,5.505
2002-06-14,5.454
2002-06-17,5.496
2002-06-18,5.45
2002-06-19,5.425
2002-06-20,5.46
2002-06-21,5.421
2002-06-24,5.384
2002-06-25,5.426
2002-06-26,5.354
2002-06-27,5.388
2002-06-28,5.435
2002-07-01,5.448
2002-07-02,5.396
2002-07-03,5.426
2002-07-04,5.469
2002-07-05,5.503
2002-07-08,5.477
2002-07-09,5.476
2002-07-10,5.413
2002-07-11,5.371
2002-07-12,5.34
2002-07-15,5.31
2002-07-16,5.367
2002-07-17,5.371
2002-07-18,5.358
2002-07-19,5.329
2002-07-22,5.275
2002-07-23,5.308
2002-07-24,5.21
2002-07-25,5.247
2002-07-26,5.228
2002-07-29,5.333
2002-07-30,5.335
2002-07-31,5.266
2002-08-01,5.212
2002-08-02,5.123
2002-08-05,5.081
2002-08-06,5.138
2002-08-07,5.086
2002-08-08,5.124
2002-08-09,5.089
2002-08-12,5.063
2002-08-13,5.026
2002-08-14,4.987
2002-08-15,5.073
2002-08-16,5.06
2002-08-19,5.145
2002-08-20,5.084
2002-08-21,5.156
2002-08-22,5.177
2002-08-23,5.146
2002-08-26,5.147
2002-08-27,5.15
2002-08-28,5.086
2002-08-29,5.086
2002-08-30,5.067
2002-09-02,5.016
2002-09-03,4.945
2002-09-04,4.969
2002-09-05,4.95
2002-09-06,4.97
2002-09-09,4.959
2002-09-10,4.992
2002-09-11,5.057
2002-09-12,4.997
2002-09-13,4.973
2002-09-16,4.899
2002-09-17,4.891
2002-09-18,4.86
2002-09-19,4.87
2002-09-20,4.905
2002-09-23,4.856
2002-09-24,4.828
2002-09-25,4.88
2002-09-26,4.906
2002-09-27,4.888
2002-09-30,4.86
2002-10-01,4.895
2002-10-02,5.237
2002-10-03,4.968
2002-10-04,4.93
2002-10-07,4.914
2002-10-08,4.897
2002-10-09,4.889
2002-10-10,4.949
2002-10-11,5.058
2002-10-14,5.04
2002-10-15,5.153
2002-10-16,5.15
2002-10-17,5.135
2002-10-18,5.141
2002-10-21,5.197
2002-10-22,5.21
2002-10-23,5.158
2002-10-24,5.205
2002-10-25,5.145
2002-10-28,5.123
2002-10-29,5.062
2002-10-30,5.124
2002-10-31,5.051
2002-11-01,5.133
2002-11-04,5.144
2002-11-05,5.159
2002-11-06,5.153
2002-11-07,5.07
2002-11-08,4.994
2002-11-11,4.992
2002-11-12,4.954
2002-11-13,4.967
2002-11-14,5.045
2002-11-15,5.02
2002-11-18,5.019
2002-11-19,5.018
2002-11-20,4.986
2002-11-21,5.063
2002-11-22,5.074
2002-11-25,5.08
2002-11-26,5.005
2002-11-27,5.07
2002-11-28,5.059
2002-11-29,4.994
2002-12-02,5.034
2002-12-03,4.988
2002-12-04,4.977
2002-12-06,4.924
2002-12-09,4.908
2002-12-10,4.905
2002-12-11,4.875
2002-12-12,4.803
2002-12-13,4.821
2002-12-16,4.852
2002-12-17,4.819
2002-12-18,4.796
2002-12-19,4.79
2002-12-20,4.801
2002-12-23,4.79
