"Date","Price","Open","High","Low","Change %"
"11/08/2012","0.276","0.306","0.327","0.272","-7.38%"
"11/07/2012","0.298","0.346","0.361","0.293","-13.12%"
"11/06/2012","0.343","0.372","0.385","0.330","-4.19%"
"11/05/2012","0.358","0.365","0.384","0.345","-1.10%"
"11/04/2012","0.362","0.361","0.391","0.361","-1.09%"
"11/03/2012","0.366","0.366","0.366","0.366","0.83%"
"11/02/2012","0.363","0.396","0.412","0.355","-4.47%"
"11/01/2012","0.380","0.394","0.417","0.368","-1.04%"
"10/31/2012","0.384","0.384","0.416","0.374","0.26%"
"10/30/2012","0.383","0.393","0.413","0.370","-2.54%"
"10/29/2012","0.393","0.406","0.419","0.374","-1.26%"
"10/28/2012","0.398","0.385","0.447","0.385","0.76%"
"10/26/2012","0.395","0.395","0.395","0.395","-0.50%"
"10/25/2012","0.397","0.397","0.397","0.397","-3.17%"
"10/24/2012","0.410","0.410","0.410","0.410","-5.09%"
"10/23/2012","0.432","0.432","0.432","0.432","2.37%"
"10/22/2012","0.422","0.422","0.422","0.422","4.46%"
"10/21/2012","0.404","0.413","0.435","0.404","-3.35%"
"10/19/2012","0.418","0.418","0.418","0.418","-1.88%"
"10/18/2012","0.426","0.426","0.426","0.426","5.97%"
"10/17/2012","0.402","0.402","0.402","0.402","6.35%"
"10/16/2012","0.378","0.378","0.378","0.378","13.51%"
"10/15/2012","0.333","0.333","0.333","0.333","-5.93%"
"10/14/2012","0.354","0.350","0.354","0.350","1.14%"
"10/12/2012","0.350","0.350","0.350","0.350","0.00%"
"10/11/2012","0.350","0.350","0.350","0.350","-1.96%"
"10/10/2012","0.357","0.357","0.357","0.357","-1.38%"
"10/09/2012","0.362","0.362","0.362","0.362","-8.82%"
"10/08/2012","0.397","0.397","0.397","0.397","-7.03%"
"10/07/2012","0.427","0.427","0.427","0.427","9.49%"
"10/06/2012","0.390","0.398","0.398","0.390","-5.34%"
"10/05/2012","0.412","0.412","0.412","0.412","0.00%"
"10/04/2012","0.412","0.412","0.412","0.412","-0.96%"
"10/03/2012","0.416","0.416","0.416","0.416","5.05%"
"10/02/2012","0.396","0.396","0.396","0.396","-4.35%"
"10/01/2012","0.414","0.414","0.414","0.414","6.43%"
"09/30/2012","0.389","0.398","0.398","0.389","0.00%"
"09/29/2012","0.389","0.397","0.397","0.389","-2.51%"
"09/28/2012","0.399","0.399","0.399","0.399","-6.99%"
"09/27/2012","0.429","0.429","0.429","0.429","-3.38%"
"09/26/2012","0.444","0.444","0.444","0.444","-4.72%"
"09/25/2012","0.466","0.466","0.466","0.466","-0.43%"
"09/24/2012","0.468","0.468","0.468","0.468","3.08%"
"09/23/2012","0.454","0.451","0.491","0.451","0.67%"
