"Date","Price","Open","High","Low","Change %"
"09/19/2025","4.397","4.389","4.409","4.385","0.26%"
"09/18/2025","4.386","4.295","4.386","4.287","1.93%"
"09/17/2025","4.303","4.321","4.328","4.289","-0.41%"
"09/16/2025","4.321","4.317","4.341","4.282","0.17%"
"09/15/2025","4.314","4.343","4.343","4.307","-0.24%"
"09/12/2025","4.324","4.274","4.329","4.260","1.00%"
"09/11/2025","4.281","4.324","4.329","4.262","-1.03%"
"09/10/2025","4.326","4.340","4.349","4.322","-0.17%"
"09/09/2025","4.333","4.329","4.354","4.325","-0.08%"
"09/08/2025","4.336","4.370","4.376","4.321","-0.99%"
"09/05/2025","4.380","4.380","4.400","4.346","-0.58%"
"09/04/2025","4.405","4.445","4.450","4.382","-1.08%"
"09/03/2025","4.453","4.496","4.523","4.447","-1.07%"
"09/02/2025","4.501","4.474","4.523","4.467","1.16%"
"09/01/2025","4.450","4.457","4.462","4.421","0.52%"
"08/29/2025","4.427","4.391","4.430","4.378","1.06%"
"08/28/2025","4.380","4.410","4.424","4.378","-1.22%"
"08/27/2025","4.434","4.391","4.449","4.373","0.82%"
"08/26/2025","4.398","4.400","4.427","4.380","0.40%"
"08/25/2025","4.381","4.326","4.387","4.324","1.76%"
"08/22/2025","4.305","4.337","4.344","4.280","-0.68%"
"08/21/2025","4.334","4.280","4.336","4.273","1.15%"
"08/20/2025","4.285","4.307","4.311","4.279","-0.55%"
"08/19/2025","4.309","4.328","4.344","4.297","-0.26%"
"08/18/2025","4.320","4.325","4.331","4.267","-0.24%"
"08/15/2025","4.330","4.229","4.330","4.226","2.43%"
"08/14/2025","4.227","4.180","4.228","4.154","1.08%"
"08/13/2025","4.182","4.244","4.246","4.178","-1.82%"
"08/12/2025","4.260","4.189","4.272","4.185","1.84%"
"08/11/2025","4.183","4.148","4.189","4.125","0.49%"
"08/08/2025","4.162","4.119","4.173","4.111","1.28%"
"08/07/2025","4.110","4.143","4.160","4.106","-0.71%"
"08/06/2025","4.139","4.101","4.150","4.100","1.07%"
"08/05/2025","4.095","4.088","4.126","4.059","0.13%"
"08/04/2025","4.090","4.166","4.191","4.089","-1.66%"
"08/01/2025","4.159","4.181","4.198","4.114","0.65%"
"07/31/2025","4.132","4.119","4.153","4.119","-0.60%"
"07/30/2025","4.157","4.143","4.173","4.129","0.17%"
"07/29/2025","4.150","4.164","4.183","4.137","-0.14%"
"07/28/2025","4.156","4.169","4.174","4.140","-0.46%"
"07/25/2025","4.175","4.199","4.235","4.175","0.05%"
"07/24/2025","4.173","4.155","4.187","4.144","1.56%"
"07/23/2025","4.109","4.118","4.129","4.100","0.42%"
"07/22/2025","4.092","4.131","4.147","4.082","-0.63%"
"07/21/2025","4.118","4.176","4.196","4.111","-2.37%"
"07/18/2025","4.218","4.200","4.228","4.199","0.50%"
"07/17/2025","4.197","4.213","4.244","4.188","-0.36%"
"07/16/2025","4.212","4.209","4.229","4.181","-0.07%"
"07/15/2025","4.215","4.228","4.236","4.172","-0.71%"
"07/14/2025","4.245","4.206","4.251","4.200","1.00%"
"07/11/2025","4.203","4.175","4.216","4.173","0.26%"
"07/10/2025","4.192","4.130","4.194","4.126","1.21%"
"07/09/2025","4.142","4.131","4.147","4.112","0.12%"
"07/08/2025","4.137","4.102","4.164","4.102","1.10%"
"07/07/2025","4.092","4.043","4.102","4.036","1.04%"
"07/04/2025","4.050","4.027","4.057","4.011","0.46%"
"07/03/2025","4.031","4.072","4.072","4.030","-0.87%"
"07/02/2025","4.067","4.018","4.101","4.010","1.40%"
"07/01/2025","4.011","4.026","4.030","3.983","-1.11%"
"06/30/2025","4.056","4.032","4.061","4.013","0.86%"
"06/27/2025","4.022","4.023","4.071","4.017","-0.20%"
"06/26/2025","4.030","3.994","4.051","3.988","0.31%"
"06/25/2025","4.017","3.992","4.046","3.958","0.32%"
"06/24/2025","4.004","3.968","4.051","3.961","0.97%"
"06/23/2025","3.966","4.034","4.035","3.958","-0.36%"
"06/20/2025","3.980","3.966","4.016","3.962","-0.61%"
"06/19/2025","4.004","3.982","4.009","3.976","1.47%"
"06/18/2025","3.947","3.984","4.018","3.947","-0.83%"
"06/17/2025","3.980","4.015","4.021","3.949","0.26%"
"06/16/2025","3.969","3.996","4.044","3.956","-0.53%"
"06/13/2025","3.990","3.900","3.997","3.891","1.84%"
"06/12/2025","3.918","3.975","3.978","3.919","-1.38%"
"06/11/2025","3.973","3.941","3.983","3.937","1.15%"
"06/10/2025","3.928","3.957","3.962","3.918","-0.82%"
"06/09/2025","3.961","3.957","3.997","3.897","0.25%"
"06/06/2025","3.951","3.973","3.978","3.929","-0.84%"
"06/05/2025","3.984","3.960","3.996","3.906","0.59%"
"06/04/2025","3.961","3.964","3.981","3.951","0.04%"
"06/03/2025","3.959","3.918","3.963","3.915","0.05%"
"06/02/2025","3.957","3.950","3.991","3.938","0.87%"
"05/30/2025","3.923","3.939","3.973","3.926","-0.25%"
"05/29/2025","3.933","3.999","4.023","3.937","-1.13%"
"05/28/2025","3.978","3.973","3.991","3.954","0.63%"
"05/27/2025","3.953","3.988","3.990","3.948","-1.27%"
"05/26/2025","4.004","4.060","4.077","4.005","-1.33%"
"05/23/2025","4.058","4.085","4.089","4.029","-0.88%"
"05/22/2025","4.094","4.102","4.137","4.091","0.60%"
"05/21/2025","4.069","4.056","4.105","4.036","1.33%"
"05/20/2025","4.016","3.959","4.043","3.956","0.97%"
"05/19/2025","3.977","3.990","4.056","3.970","0.10%"
"05/16/2025","3.974","3.980","3.985","3.938","-0.80%"
"05/15/2025","4.005","4.090","4.091","4.009","-2.09%"
"05/14/2025","4.091","4.070","4.096","4.048","0.71%"
"05/13/2025","4.062","4.034","4.069","4.034","0.98%"
"05/12/2025","4.023","4.017","4.033","4.011","0.69%"
"05/09/2025","3.995","3.992","4.028","3.985","0.71%"
"05/08/2025","3.967","3.926","3.972","3.917","1.19%"
"05/07/2025","3.921","4.000","4.003","3.922","-1.85%"
"05/06/2025","3.994","4.002","4.021","3.983","0.63%"
"05/05/2025","3.970","3.973","3.986","3.948","0.18%"
"05/02/2025","3.963","3.919","3.970","3.901","1.89%"
"04/30/2025","3.889","3.944","3.944","3.889","-1.42%"
"04/29/2025","3.945","3.942","3.963","3.934","-0.19%"
"04/28/2025","3.953","3.920","3.973","3.912","1.40%"
"04/25/2025","3.898","3.894","3.908","3.880","0.57%"
"04/24/2025","3.876","3.940","3.944","3.875","-1.50%"
"04/23/2025","3.935","3.930","3.953","3.908","0.60%"
"04/22/2025","3.911","3.974","3.976","3.911","-1.02%"
"04/17/2025","3.952","3.984","4.005","3.939","-0.16%"
"04/16/2025","3.958","3.929","3.964","3.914","-0.01%"
"04/15/2025","3.959","3.905","3.984","3.903","0.99%"
"04/14/2025","3.920","3.945","3.962","3.909","-0.85%"
"04/11/2025","3.954","4.010","4.057","3.947","-1.20%"
"04/10/2025","4.002","4.060","4.108","3.989","-1.34%"
"04/09/2025","4.056","4.186","4.191","4.039","-0.31%"
"04/08/2025","4.069","4.090","4.108","4.020","-0.53%"
"04/07/2025","4.090","4.028","4.102","3.941","2.12%"
"04/04/2025","4.005","4.020","4.020","3.948","-0.92%"
"04/03/2025","4.042","4.019","4.060","4.009","-0.14%"
"04/02/2025","4.048","4.030","4.068","4.009","0.82%"
"04/01/2025","4.015","4.064","4.069","4.001","-1.56%"
"03/31/2025","4.078","4.042","4.096","4.034","-0.06%"
"03/28/2025","4.081","4.076","4.097","4.045","-0.52%"
"03/27/2025","4.102","4.104","4.130","4.087","-0.21%"
"03/26/2025","4.110","4.102","4.129","4.089","0.38%"
"03/25/2025","4.095","4.100","4.130","4.093","0.39%"
"03/24/2025","4.079","4.091","4.109","4.068","0.11%"
"03/21/2025","4.075","4.079","4.084","4.055","0.12%"
"03/20/2025","4.069","4.028","4.074","4.028","0.74%"
"03/19/2025","4.040","4.049","4.062","4.026","-0.80%"
"03/18/2025","4.072","4.060","4.109","4.059","0.67%"
"03/17/2025","4.045","4.134","4.145","4.040","-2.41%"
"03/14/2025","4.145","4.145","4.188","4.125","0.46%"
"03/13/2025","4.126","4.123","4.158","4.113","0.56%"
"03/12/2025","4.103","4.132","4.151","4.095","-0.75%"
"03/11/2025","4.134","4.110","4.147","4.095","1.01%"
"03/10/2025","4.093","4.106","4.107","4.054","0.11%"
"03/07/2025","4.088","4.063","4.095","4.029","0.43%"
"03/06/2025","4.070","4.105","4.143","4.062","0.95%"
"03/05/2025","4.032","4.037","4.049","3.932","4.56%"
"03/04/2025","3.856","3.786","3.864","3.765","1.15%"
"03/03/2025","3.812","3.760","3.846","3.758","2.27%"
"02/28/2025","3.727","3.712","3.741","3.693","-0.07%"
"02/27/2025","3.730","3.714","3.761","3.712","0.16%"
"02/26/2025","3.724","3.766","3.768","3.715","-0.96%"
"02/25/2025","3.760","3.797","3.804","3.753","-0.71%"
"02/24/2025","3.787","3.793","3.807","3.761","0.37%"
"02/21/2025","3.773","3.814","3.814","3.770","-1.23%"
"02/20/2025","3.820","3.812","3.835","3.808","0.10%"
"02/19/2025","3.816","3.764","3.819","3.756","2.03%"
"02/18/2025","3.740","3.777","3.783","3.736","-0.40%"
"02/17/2025","3.755","3.753","3.783","3.746","1.54%"
"02/14/2025","3.698","3.685","3.707","3.676","0.14%"
"02/13/2025","3.693","3.765","3.771","3.682","-2.17%"
"02/12/2025","3.775","3.752","3.789","3.734","0.69%"
"02/11/2025","3.749","3.691","3.761","3.688","2.18%"
"02/10/2025","3.669","3.669","3.686","3.655","0.19%"
"02/07/2025","3.662","3.651","3.689","3.634","0.27%"
"02/06/2025","3.652","3.655","3.688","3.634","0.22%"
"02/05/2025","3.644","3.671","3.679","3.612","-1.33%"
"02/04/2025","3.693","3.720","3.725","3.689","-0.11%"
"02/03/2025","3.697","3.780","3.787","3.668","-2.27%"
"01/31/2025","3.783","3.849","3.852","3.770","-1.20%"
"01/30/2025","3.829","3.852","3.855","3.818","-1.06%"
"01/29/2025","3.870","3.805","3.872","3.804","0.89%"
"01/28/2025","3.836","3.827","3.839","3.810","0.58%"
"01/27/2025","3.814","3.812","3.835","3.788","-0.75%"
"01/24/2025","3.843","3.829","3.866","3.825","0.03%"
"01/23/2025","3.842","3.809","3.869","3.806","0.84%"
"01/22/2025","3.810","3.821","3.821","3.774","-0.13%"
"01/21/2025","3.815","3.832","3.844","3.806","-0.68%"
"01/20/2025","3.841","3.847","3.879","3.839","-0.36%"
"01/17/2025","3.855","3.886","3.887","3.828","-0.72%"
"01/16/2025","3.883","3.886","3.933","3.879","0.03%"
"01/15/2025","3.882","3.974","3.982","3.865","-2.63%"
"01/14/2025","3.987","3.955","3.993","3.935","0.66%"
"01/13/2025","3.961","3.970","3.987","3.949","0.41%"
"01/10/2025","3.945","3.945","3.967","3.928","0.41%"
"01/09/2025","3.929","3.913","3.951","3.909","0.61%"
"01/08/2025","3.905","3.833","3.909","3.832","1.91%"
"01/07/2025","3.832","3.807","3.844","3.786","1.30%"
"01/06/2025","3.783","3.824","3.829","3.781","-0.92%"
"01/03/2025","3.818","3.770","3.829","3.750","1.11%"
"01/02/2025","3.776","3.740","3.776","3.714","1.21%"
"12/31/2024","3.731","3.731","3.731","3.731","-0.05%"
"12/30/2024","3.733","3.747","3.760","3.714","-0.29%"
