"Date","Price","Open","High","Low","Change %"
"02/23/2016","1.500","1.521","1.543","1.498","-0.79%"
"02/22/2016","1.512","1.577","1.582","1.512","-2.88%"
"02/21/2016","1.557","1.557","1.557","1.557","0.00%"
"02/20/2016","1.557","1.557","1.560","1.555","0.06%"
"02/19/2016","1.556","1.569","1.577","1.534","-0.95%"
"02/18/2016","1.571","1.644","1.646","1.566","-4.90%"
"02/17/2016","1.652","1.653","1.678","1.629","-0.96%"
"02/16/2016","1.668","1.627","1.679","1.612","3.47%"
"02/15/2016","1.612","1.661","1.686","1.600","-1.93%"
"02/14/2016","1.644","1.653","1.653","1.644","0.90%"
"02/12/2016","1.629","1.608","1.640","1.587","3.30%"
"02/11/2016","1.577","1.631","1.631","1.541","-3.96%"
"02/10/2016","1.642","1.610","1.656","1.600","0.92%"
"02/09/2016","1.627","1.587","1.659","1.556","1.81%"
"02/08/2016","1.598","1.650","1.655","1.595","-4.02%"
"02/05/2016","1.665","1.638","1.669","1.617","0.24%"
"02/04/2016","1.661","1.647","1.671","1.623","1.59%"
"02/03/2016","1.635","1.665","1.691","1.612","-2.62%"
"02/02/2016","1.679","1.679","1.693","1.656","-1.29%"
"02/01/2016","1.701","1.671","1.702","1.637","2.17%"
"01/31/2016","1.665","1.665","1.665","1.664","0.55%"
"01/30/2016","1.656","1.652","1.662","1.652","-1.21%"
"01/29/2016","1.676","1.747","1.747","1.658","-4.99%"
"01/28/2016","1.764","1.782","1.783","1.736","-2.22%"
"01/27/2016","1.804","1.799","1.819","1.772","-0.28%"
"01/26/2016","1.809","1.822","1.825","1.784","-2.22%"
"01/25/2016","1.850","1.861","1.869","1.829","-0.54%"
"01/24/2016","1.860","1.856","1.860","1.856","0.23%"
"01/23/2016","1.856","1.856","1.860","1.856","-0.45%"
"01/22/2016","1.864","1.827","1.875","1.816","2.59%"
"01/21/2016","1.817","1.874","1.885","1.789","-1.94%"
"01/20/2016","1.853","1.879","1.896","1.832","-3.44%"
"01/19/2016","1.919","1.926","1.938","1.901","0.26%"
"01/18/2016","1.914","1.923","1.929","1.898","1.43%"
"01/15/2016","1.887","1.919","1.927","1.867","-1.67%"
"01/14/2016","1.919","1.901","1.931","1.859","0.84%"
"01/13/2016","1.903","1.953","1.955","1.889","-2.46%"
"01/12/2016","1.951","1.967","2.008","1.944","-0.66%"
"01/11/2016","1.964","1.937","1.977","1.929","1.78%"
"01/10/2016","1.930","1.930","1.930","1.930","-0.59%"
"01/08/2016","1.941","1.983","1.993","1.933","-3.00%"
"01/07/2016","2.001","1.938","2.004","1.914","2.99%"
"01/06/2016","1.943","1.970","1.976","1.915","-2.17%"
"01/05/2016","1.986","2.003","2.010","1.960","0.35%"
"01/04/2016","1.979","1.971","1.990","1.942","-2.13%"
"01/02/2016","2.022","2.021","2.022","2.021","0.05%"
"12/31/2015","2.021","2.021","2.021","2.021","0.00%"
"12/30/2015","2.021","2.032","2.056","2.002","-0.39%"
"12/29/2015","2.029","1.919","2.033","1.910","6.73%"
"12/28/2015","1.901","1.976","1.980","1.898","-4.30%"
"12/26/2015","1.986","1.989","1.989","1.986","0.00%"
"12/25/2015","1.986","1.991","1.991","1.986","0.00%"
"12/24/2015","1.986","1.986","1.987","1.986","-0.80%"
"12/23/2015","2.002","1.924","2.005","1.913","3.78%"
"12/22/2015","1.929","1.868","1.932","1.863","3.32%"
"12/21/2015","1.867","1.877","1.918","1.844","0.26%"
"12/20/2015","1.862","1.862","1.862","1.862","0.00%"
"12/19/2015","1.862","1.856","1.862","1.856","-0.42%"
"12/18/2015","1.870","1.904","1.911","1.849","-2.65%"
"12/17/2015","1.921","1.977","1.977","1.894","-3.32%"
"12/16/2015","1.987","1.958","1.991","1.932","0.76%"
"12/15/2015","1.972","1.906","1.997","1.891","3.95%"
"12/14/2015","1.897","1.859","1.908","1.848","2.93%"
"12/11/2015","1.843","1.888","1.896","1.843","-2.28%"
"12/10/2015","1.886","1.890","1.906","1.858","-1.26%"
"12/09/2015","1.910","1.870","1.911","1.846","2.36%"
"12/08/2015","1.866","1.923","1.934","1.847","-3.22%"
"12/07/2015","1.928","2.016","2.037","1.920","-4.80%"
"12/06/2015","2.025","2.025","2.027","2.025","0.00%"
"12/05/2015","2.025","2.021","2.025","2.021","-0.48%"
"12/04/2015","2.035","2.031","2.046","1.945","2.47%"
"12/03/2015","1.986","1.869","2.017","1.859","6.83%"
"12/02/2015","1.859","1.862","1.881","1.840","0.22%"
"12/01/2015","1.855","1.847","1.903","1.836","0.82%"
"11/30/2015","1.840","1.809","1.845","1.800","2.10%"
"11/29/2015","1.802","1.800","1.802","1.800","0.10%"
"11/28/2015","1.800","1.801","1.801","1.800","0.35%"
"11/27/2015","1.794","1.794","1.808","1.770","-0.88%"
"11/26/2015","1.810","1.799","1.825","1.795","0.11%"
"11/25/2015","1.808","1.828","1.834","1.779","-0.44%"
"11/24/2015","1.816","1.823","1.836","1.779","-1.20%"
"11/23/2015","1.838","1.790","1.848","1.779","3.46%"
"11/22/2015","1.776","1.776","1.776","1.776","0.00%"
"11/21/2015","1.776","1.785","1.785","1.776","0.08%"
"11/20/2015","1.775","1.817","1.820","1.763","-1.39%"
"11/19/2015","1.800","1.828","1.833","1.798","-2.91%"
"11/18/2015","1.854","1.871","1.885","1.843","-1.90%"
"11/17/2015","1.890","1.888","1.895","1.858","0.21%"
"11/16/2015","1.886","1.880","1.924","1.879","-0.62%"
"11/15/2015","1.898","1.898","1.898","1.898","0.00%"
"11/14/2015","1.898","1.898","1.899","1.898","-0.06%"
"11/13/2015","1.899","1.951","1.955","1.883","-2.62%"
"11/12/2015","1.950","1.975","1.982","1.935","-0.56%"
