"Date","Price","Open","High","Low","Change %"
"07/20/2014","0.792","0.792","0.792","0.792","0.00%"
"07/19/2014","0.792","0.787","0.792","0.787","0.64%"
"07/18/2014","0.787","0.809","0.823","0.780","-1.01%"
"07/17/2014","0.795","0.831","0.841","0.788","-3.75%"
"07/16/2014","0.826","0.824","0.856","0.813","-2.94%"
"07/15/2014","0.851","0.847","0.883","0.829","-2.30%"
"07/14/2014","0.871","0.853","0.893","0.827","-0.34%"
"07/13/2014","0.874","0.859","0.874","0.859","1.27%"
"07/12/2014","0.863","0.866","0.869","0.852","0.35%"
"07/11/2014","0.860","0.887","0.906","0.853","-1.60%"
"07/10/2014","0.874","0.818","0.888","0.818","7.37%"
"07/09/2014","0.814","0.795","0.870","0.791","5.03%"
"07/08/2014","0.775","0.755","0.816","0.755","4.17%"
"07/07/2014","0.744","0.751","0.777","0.734","-3.00%"
"07/06/2014","0.767","0.743","0.767","0.743","2.68%"
"07/05/2014","0.747","0.771","0.771","0.744","0.40%"
"07/04/2014","0.744","0.764","0.788","0.739","-4.86%"
"07/03/2014","0.782","0.855","0.863","0.774","-5.21%"
"07/02/2014","0.825","0.808","0.860","0.802","0.73%"
"07/01/2014","0.819","0.843","0.880","0.810","-3.19%"
"06/30/2014","0.846","0.850","0.880","0.837","-2.31%"
"06/29/2014","0.866","0.862","0.887","0.862","0.46%"
"06/28/2014","0.862","0.862","0.873","0.852","0.23%"
"06/27/2014","0.860","0.865","0.912","0.854","-1.15%"
"06/26/2014","0.870","0.890","0.919","0.863","-2.90%"
"06/25/2014","0.896","0.919","0.951","0.892","-1.65%"
"06/24/2014","0.911","0.958","0.978","0.899","-5.60%"
"06/23/2014","0.965","1.013","1.035","0.957","-4.36%"
"06/22/2014","1.009","1.036","1.036","1.005","-0.79%"
"06/21/2014","1.017","1.017","1.023","1.017","0.39%"
"06/20/2014","1.013","1.001","1.045","0.992","2.53%"
"06/19/2014","0.988","0.961","1.006","0.935","-3.04%"
"06/18/2014","1.019","0.983","1.042","0.969","4.51%"
"06/17/2014","0.975","0.936","0.992","0.936","5.98%"
"06/16/2014","0.920","0.911","0.945","0.884","2.68%"
"06/15/2014","0.896","0.881","0.911","0.881","1.36%"
"06/14/2014","0.884","0.884","0.918","0.884","-1.67%"
"06/13/2014","0.899","0.935","0.962","0.886","-3.95%"
"06/12/2014","0.936","0.974","0.978","0.909","-1.89%"
"06/11/2014","0.954","0.970","1.003","0.948","0.63%"
"06/10/2014","0.948","0.869","0.956","0.868","10.75%"
"06/09/2014","0.856","0.827","0.872","0.806","1.90%"
"06/08/2014","0.840","0.836","0.840","0.836","-1.41%"
"06/07/2014","0.852","0.860","0.869","0.852","1.31%"
"06/06/2014","0.841","0.890","0.899","0.774","-15.48%"
"06/05/2014","0.995","1.097","1.099","0.958","-10.92%"
"06/04/2014","1.117","1.117","1.127","1.093","-0.36%"
"06/03/2014","1.121","1.104","1.135","1.076","1.26%"
"06/02/2014","1.107","1.117","1.134","1.080","0.18%"
"06/01/2014","1.105","1.134","1.134","1.105","-0.99%"
"05/31/2014","1.116","1.105","1.122","1.105","0.54%"
"05/30/2014","1.110","1.125","1.147","1.105","-1.16%"
"05/29/2014","1.123","1.103","1.141","1.090","2.56%"
"05/28/2014","1.095","1.130","1.155","1.089","-2.41%"
"05/27/2014","1.122","1.100","1.147","1.096","0.09%"
"05/26/2014","1.121","1.168","1.188","1.116","-9.52%"
"05/25/2014","1.239","1.245","1.245","1.232","-0.88%"
"05/23/2014","1.250","1.332","1.332","1.250","-6.58%"
"05/22/2014","1.338","1.305","1.349","1.259","2.61%"
"05/21/2014","1.304","1.387","1.415","1.293","-4.47%"
"05/20/2014","1.365","1.250","1.370","1.231","8.25%"
"05/19/2014","1.261","1.151","1.281","1.149","8.05%"
"05/18/2014","1.167","1.204","1.204","1.167","-0.68%"
"05/17/2014","1.175","1.168","1.191","1.168","0.00%"
"05/16/2014","1.175","1.240","1.252","1.162","-4.47%"
"05/15/2014","1.230","1.106","1.296","1.093","9.82%"
"05/14/2014","1.120","1.135","1.153","1.106","-1.32%"
"05/13/2014","1.135","1.157","1.179","1.121","-1.99%"
"05/12/2014","1.158","1.154","1.199","1.139","1.31%"
"05/10/2014","1.143","1.142","1.148","1.142","0.09%"
"05/09/2014","1.142","1.088","1.155","1.087","3.82%"
"05/08/2014","1.100","1.151","1.192","1.082","-3.42%"
"05/07/2014","1.139","1.106","1.168","1.091","2.43%"
"05/06/2014","1.112","1.138","1.156","1.099","-2.54%"
"05/05/2014","1.141","1.160","1.178","1.133","-2.23%"
"05/03/2014","1.167","1.163","1.167","1.163","0.00%"
"05/02/2014","1.167","1.183","1.213","1.157","-1.52%"
"05/01/2014","1.185","1.183","1.186","1.183","-0.92%"
"04/30/2014","1.196","1.214","1.235","1.193","-2.45%"
"04/29/2014","1.226","1.250","1.293","1.200","-0.49%"
"04/28/2014","1.232","1.198","1.243","1.195","2.92%"
"04/27/2014","1.197","1.199","1.204","1.191","-0.17%"
"04/26/2014","1.199","1.199","1.199","1.199","0.25%"
"04/25/2014","1.196","1.177","1.231","1.172","1.87%"
"04/24/2014","1.174","1.157","1.208","1.154","3.25%"
"04/23/2014","1.137","1.124","1.157","1.113","0.53%"
"04/22/2014","1.131","1.146","1.173","1.127","-1.31%"
"04/21/2014","1.146","1.143","1.146","1.143","-0.09%"
"04/19/2014","1.147","1.145","1.152","1.145","0.17%"
"04/18/2014","1.145","1.141","1.150","1.141","0.44%"
"04/17/2014","1.140","1.105","1.168","1.094","2.89%"
"04/16/2014","1.108","1.109","1.143","1.102","-0.18%"
"04/15/2014","1.110","1.161","1.183","1.101","-4.56%"
"04/14/2014","1.163","1.173","1.212","1.158","-1.52%"
"04/12/2014","1.181","1.186","1.186","1.181","0.00%"
"04/11/2014","1.181","1.128","1.199","1.128","5.92%"
"04/10/2014","1.115","1.108","1.148","1.092","-1.59%"
"04/09/2014","1.133","1.150","1.177","1.119","-1.13%"
"04/08/2014","1.146","1.151","1.173","1.115","2.60%"
"04/07/2014","1.117","1.105","1.148","1.104","-0.27%"
"04/05/2014","1.120","1.113","1.122","1.113","-0.18%"
"04/04/2014","1.122","1.191","1.192","1.094","-7.43%"
"04/03/2014","1.212","1.289","1.328","1.206","-5.61%"
"04/02/2014","1.284","1.283","1.316","1.265","0.94%"
"04/01/2014","1.272","1.283","1.304","1.258","-1.09%"
"03/31/2014","1.286","1.279","1.324","1.268","-1.83%"
"03/30/2014","1.310","1.310","1.310","1.310","1.31%"
"03/29/2014","1.293","1.288","1.294","1.288","0.23%"
"03/28/2014","1.290","1.266","1.335","1.231","1.65%"
"03/27/2014","1.269","1.289","1.328","1.263","-4.01%"
"03/26/2014","1.322","1.403","1.432","1.312","-5.23%"
"03/25/2014","1.395","1.416","1.444","1.392","-2.31%"
"03/24/2014","1.428","1.420","1.468","1.418","0.85%"
"03/22/2014","1.416","1.416","1.416","1.416","0.21%"
"03/21/2014","1.413","1.432","1.471","1.404","-2.62%"
"03/20/2014","1.451","1.460","1.499","1.439","3.13%"
"03/19/2014","1.407","1.399","1.426","1.373","0.57%"
"03/18/2014","1.399","1.415","1.430","1.389","-1.06%"
"03/17/2014","1.414","1.438","1.447","1.406","-1.81%"
"03/15/2014","1.440","1.436","1.442","1.436","0.35%"
"03/14/2014","1.435","1.448","1.456","1.421","1.13%"
"03/13/2014","1.419","1.433","1.454","1.411","-0.63%"
"03/12/2014","1.428","1.416","1.450","1.394","1.64%"
"03/11/2014","1.405","1.401","1.445","1.391","1.08%"
"03/10/2014","1.390","1.423","1.449","1.390","-2.52%"
"03/09/2014","1.426","1.426","1.426","1.426","0.00%"
"03/08/2014","1.426","1.422","1.429","1.422","-0.21%"
"03/07/2014","1.429","1.423","1.464","1.410","-0.49%"
"03/06/2014","1.436","1.384","1.437","1.369","4.59%"
"03/05/2014","1.373","1.446","1.450","1.363","-5.18%"
"03/04/2014","1.448","1.522","1.523","1.444","19.87%"
"03/03/2014","1.208","1.225","1.275","1.204","-2.19%"
"03/01/2014","1.235","1.229","1.239","1.224","0.57%"
"02/28/2014","1.228","1.210","1.244","1.192","1.40%"
"02/27/2014","1.211","1.207","1.248","1.184","-1.54%"
"02/26/2014","1.230","1.259","1.281","1.228","-2.23%"
"02/25/2014","1.258","1.286","1.317","1.255","0.08%"
"02/24/2014","1.257","1.226","1.280","1.222","0.32%"
"02/22/2014","1.253","1.252","1.253","1.243","0.24%"
"02/21/2014","1.250","1.285","1.313","1.243","-3.92%"
"02/20/2014","1.301","1.279","1.329","1.264","2.93%"
"02/19/2014","1.264","1.248","1.290","1.248","0.88%"
"02/18/2014","1.253","1.301","1.314","1.249","-3.39%"
"02/17/2014","1.297","1.301","1.321","1.287","-2.77%"
"02/15/2014","1.334","1.330","1.334","1.327","0.23%"
"02/14/2014","1.331","1.399","1.399","1.323","-2.78%"
"02/13/2014","1.369","1.393","1.416","1.365","-0.07%"
"02/12/2014","1.370","1.334","1.380","1.308","2.32%"
"02/11/2014","1.339","1.331","1.373","1.320","1.13%"
"02/10/2014","1.324","1.317","1.358","1.311","1.15%"
"02/08/2014","1.309","1.309","1.309","1.305","-0.08%"
"02/07/2014","1.310","1.334","1.393","1.309","-2.96%"
"02/06/2014","1.350","1.332","1.391","1.324","1.73%"
"02/05/2014","1.327","1.362","1.367","1.316","-2.64%"
"02/04/2014","1.363","1.410","1.421","1.359","-1.16%"
"02/03/2014","1.379","1.393","1.401","1.359","-4.10%"
"02/01/2014","1.438","1.401","1.438","1.397","1.34%"
"01/31/2014","1.419","1.482","1.504","1.412","-5.46%"
"01/30/2014","1.501","1.530","1.536","1.496","-2.21%"
"01/29/2014","1.535","1.506","1.565","1.500","-0.65%"
"01/28/2014","1.545","1.544","1.572","1.518","-1.65%"
"01/27/2014","1.571","1.559","1.601","1.552","0.45%"
"01/25/2014","1.564","1.568","1.568","1.562","1.43%"
"01/24/2014","1.542","1.534","1.573","1.516","2.39%"
"01/23/2014","1.506","1.490","1.514","1.479","1.76%"
"01/22/2014","1.480","1.481","1.481","1.444","-0.13%"
"01/21/2014","1.482","1.469","1.492","1.462","1.16%"
"01/20/2014","1.465","1.454","1.490","1.453","-0.48%"
"01/18/2014","1.472","1.470","1.476","1.470","0.14%"
"01/17/2014","1.470","1.452","1.479","1.447","0.34%"
"01/16/2014","1.465","1.459","1.485","1.455","0.21%"
"01/15/2014","1.462","1.473","1.479","1.450","-0.88%"
"01/14/2014","1.475","1.478","1.492","1.459","0.07%"
"01/13/2014","1.474","1.494","1.495","1.467","-1.14%"
"01/11/2014","1.491","1.486","1.491","1.480","0.54%"
"01/10/2014","1.483","1.489","1.520","1.459","1.51%"
"01/09/2014","1.461","1.485","1.485","1.432","-1.35%"
"01/08/2014","1.481","1.487","1.488","1.441","0.14%"
"01/07/2014","1.479","1.537","1.539","1.468","-3.71%"
"01/06/2014","1.536","1.519","1.553","1.516","1.25%"
"01/04/2014","1.517","1.506","1.524","1.506","-0.91%"
"01/03/2014","1.531","1.548","1.564","1.524","-2.92%"
"01/02/2014","1.577","1.709","1.711","1.577","-8.47%"
"01/01/2014","1.723","1.720","1.723","1.720","0.17%"
"12/31/2013","1.720","1.722","1.723","1.720","0.58%"
"12/30/2013","1.710","1.828","1.830","1.707","-5.47%"
"12/28/2013","1.809","1.806","1.839","1.773","0.00%"
"12/27/2013","1.809","1.841","1.851","1.802","-0.99%"
"12/25/2013","1.827","1.827","1.827","1.827","0.00%"
"12/24/2013","1.827","1.774","1.843","1.774","2.81%"
"12/23/2013","1.777","1.720","1.786","1.719","5.59%"
