"Date","Price","Open","High","Low","Change %"
"05/23/2013","1.948","1.898","1.948","1.880","2.69%"
"05/22/2013","1.897","1.894","1.919","1.859","-1.30%"
"05/21/2013","1.922","1.872","1.929","1.870","2.29%"
"05/20/2013","1.879","1.894","1.894","1.848","1.46%"
"05/17/2013","1.852","1.882","1.886","1.836","-1.80%"
"05/16/2013","1.886","1.929","1.944","1.875","-2.68%"
"05/15/2013","1.938","1.954","1.971","1.915","-0.21%"
"05/14/2013","1.942","1.945","1.967","1.917","6.94%"
"05/13/2013","1.816","1.833","1.837","1.791","-1.47%"
"05/12/2013","1.843","1.843","1.843","1.843","0.60%"
"05/10/2013","1.832","1.758","1.842","1.748","6.02%"
"05/09/2013","1.728","1.718","1.731","1.690","0.99%"
"05/08/2013","1.711","1.741","1.753","1.703","-0.87%"
"05/07/2013","1.726","1.695","1.736","1.673","2.37%"
"05/06/2013","1.686","1.716","1.716","1.680","-1.52%"
"05/05/2013","1.712","1.712","1.712","1.712","0.29%"
"05/03/2013","1.707","1.674","1.715","1.647","2.46%"
"05/02/2013","1.666","1.704","1.734","1.659","-3.03%"
"05/01/2013","1.718","1.718","1.718","1.718","0.70%"
"04/30/2013","1.706","1.748","1.751","1.697","-1.95%"
"04/29/2013","1.740","1.754","1.770","1.736","-0.74%"
"04/28/2013","1.753","1.753","1.753","1.753","0.46%"
"04/26/2013","1.745","1.762","1.766","1.739","-0.51%"
"04/25/2013","1.754","1.757","1.775","1.742","0.23%"
"04/24/2013","1.750","1.765","1.783","1.710","0.69%"
"04/23/2013","1.738","1.753","1.753","1.697","-0.34%"
"04/22/2013","1.744","1.818","1.823","1.737","-2.90%"
"04/19/2013","1.796","1.789","1.809","1.780","0.56%"
"04/18/2013","1.786","1.794","1.821","1.774","0.51%"
"04/17/2013","1.777","1.818","1.834","1.769","-2.04%"
"04/16/2013","1.814","1.801","1.821","1.794","0.78%"
"04/15/2013","1.800","1.816","1.827","1.783","-0.77%"
"04/12/2013","1.814","1.849","1.854","1.803","-1.63%"
"04/11/2013","1.844","1.869","1.885","1.817","-0.91%"
"04/10/2013","1.861","1.813","1.873","1.813","3.91%"
"04/09/2013","1.791","1.761","1.833","1.751","2.87%"
"04/08/2013","1.741","1.755","1.773","1.712","-0.80%"
"04/05/2013","1.755","1.864","1.875","1.716","-6.90%"
"04/04/2013","1.885","1.978","1.986","1.883","-5.04%"
"04/03/2013","1.985","2.025","2.027","1.978","-1.88%"
"04/02/2013","2.023","2.014","2.048","2.014","-0.25%"
"03/29/2013","2.028","2.028","2.028","2.028","0.55%"
"03/28/2013","2.017","2.020","2.041","2.010","0.00%"
"03/27/2013","2.017","2.051","2.054","2.001","-1.80%"
"03/26/2013","2.054","2.024","2.071","2.020","1.63%"
"03/25/2013","2.021","2.029","2.046","2.015","0.30%"
"03/22/2013","2.015","2.000","2.025","1.980","0.95%"
"03/21/2013","1.996","2.033","2.048","1.991","-1.82%"
"03/20/2013","2.033","2.011","2.057","2.011","1.50%"
"03/19/2013","2.003","2.035","2.046","1.995","-1.52%"
"03/18/2013","2.034","2.019","2.050","2.013","-1.55%"
"03/17/2013","2.066","2.066","2.066","2.066","-0.14%"
"03/15/2013","2.069","2.098","2.108","2.057","-0.96%"
"03/14/2013","2.089","2.097","2.121","2.080","-0.29%"
"03/13/2013","2.095","2.104","2.109","2.080","-0.48%"
"03/12/2013","2.105","2.124","2.135","2.090","-0.99%"
"03/11/2013","2.126","2.114","2.126","2.089","0.19%"
"03/08/2013","2.122","2.128","2.147","2.099","-0.14%"
"03/07/2013","2.125","2.124","2.146","2.091","-0.23%"
"03/06/2013","2.130","2.153","2.153","2.119","-0.19%"
"03/05/2013","2.134","2.109","2.141","2.099","1.57%"
"03/04/2013","2.101","2.130","2.130","2.091","-0.76%"
"03/01/2013","2.117","2.160","2.177","2.113","-2.62%"
"02/28/2013","2.174","2.165","2.184","2.147","0.46%"
"02/27/2013","2.164","2.178","2.178","2.133","-0.32%"
"02/26/2013","2.171","2.205","2.222","2.170","-3.34%"
"02/25/2013","2.246","2.243","2.272","2.223","0.99%"
"02/22/2013","2.224","2.247","2.260","2.212","-0.45%"
"02/21/2013","2.234","2.274","2.276","2.225","-2.15%"
"02/20/2013","2.283","2.280","2.299","2.263","1.11%"
"02/19/2013","2.258","2.273","2.276","2.239","-0.18%"
"02/18/2013","2.262","2.285","2.287","2.249","-1.22%"
"02/17/2013","2.290","2.290","2.290","2.290","0.31%"
"02/15/2013","2.283","2.256","2.287","2.237","1.47%"
"02/14/2013","2.250","2.291","2.303","2.247","-1.66%"
"02/13/2013","2.288","2.275","2.317","2.265","0.75%"
"02/12/2013","2.271","2.256","2.284","2.237","1.11%"
"02/11/2013","2.246","2.234","2.257","2.225","0.45%"
"02/09/2013","2.236","2.236","2.236","2.236","0.09%"
"02/08/2013","2.234","2.254","2.256","2.205","-0.53%"
"02/07/2013","2.246","2.290","2.335","2.235","-1.62%"
"02/06/2013","2.283","2.293","2.295","2.255","0.18%"
"02/05/2013","2.279","2.252","2.309","2.238","1.47%"
"02/04/2013","2.246","2.303","2.303","2.240","-0.27%"
"02/01/2013","2.252","2.288","2.291","2.224","-0.22%"
"01/31/2013","2.257","2.271","2.307","2.255","-1.87%"
"01/30/2013","2.300","2.269","2.317","2.266","1.50%"
"01/29/2013","2.266","2.283","2.284","2.233","-0.74%"
"01/28/2013","2.283","2.244","2.300","2.217","2.42%"
"01/25/2013","2.229","2.172","2.240","2.158","2.67%"
"01/24/2013","2.171","2.134","2.178","2.102","2.12%"
"01/23/2013","2.126","2.147","2.160","2.122","-1.12%"
"01/22/2013","2.150","2.186","2.203","2.144","-1.56%"
"01/21/2013","2.184","2.146","2.191","2.142","2.15%"
"01/18/2013","2.138","2.197","2.232","2.135","-2.15%"
"01/17/2013","2.185","2.122","2.199","2.115","2.73%"
"01/16/2013","2.127","2.135","2.145","2.117","-0.09%"
"01/15/2013","2.129","2.141","2.152","2.117","-0.51%"
"01/14/2013","2.140","2.148","2.169","2.119","0.00%"
"01/13/2013","2.140","2.140","2.140","2.140","-1.06%"
"01/11/2013","2.163","2.167","2.181","2.134","1.26%"
"01/10/2013","2.136","2.120","2.165","2.095","1.38%"
"01/09/2013","2.107","2.123","2.136","2.092","0.00%"
"01/08/2013","2.107","2.107","2.139","2.094","-0.28%"
"01/07/2013","2.113","2.132","2.151","2.098","-1.54%"
"01/04/2013","2.146","2.164","2.172","2.104","1.08%"
"01/03/2013","2.123","2.081","2.127","2.067","1.97%"
"01/02/2013","2.082","2.028","2.084","2.010","4.41%"
"01/01/2013","1.994","1.994","1.994","1.994","0.00%"
"12/31/2012","1.994","1.994","1.994","1.994","0.10%"
"12/30/2012","1.992","1.992","1.992","1.992","0.00%"
"12/28/2012","1.992","1.986","2.012","1.968","0.30%"
"12/27/2012","1.986","1.999","2.007","1.974","-0.65%"
"12/24/2012","1.999","1.996","1.999","1.996","0.10%"
"12/23/2012","1.997","1.997","1.997","1.997","0.00%"
"12/22/2012","1.997","1.997","1.997","1.997","0.76%"
"12/21/2012","1.982","1.976","2.002","1.975","-0.55%"
"12/20/2012","1.993","2.010","2.028","1.981","-1.09%"
"12/19/2012","2.015","2.074","2.086","2.008","-1.32%"
"12/18/2012","2.042","2.025","2.050","2.012","1.54%"
"12/17/2012","2.011","2.005","2.028","1.983","1.51%"
"12/14/2012","1.981","2.001","2.015","1.961","0.10%"
"12/13/2012","1.979","1.977","1.994","1.943","-0.15%"
"12/12/2012","1.982","1.978","1.993","1.964","0.97%"
"12/11/2012","1.963","1.957","1.993","1.948","0.00%"
"12/10/2012","1.963","1.971","1.980","1.919","0.20%"
"12/07/2012","1.959","1.994","2.011","1.951","-1.71%"
"12/06/2012","1.993","2.007","2.045","1.987","-0.65%"
"12/05/2012","2.006","2.045","2.063","1.992","-1.81%"
"12/04/2012","2.043","2.072","2.075","2.027","-0.73%"
"12/03/2012","2.058","2.058","2.072","2.033","0.54%"
"12/01/2012","2.047","2.047","2.047","2.047","-0.24%"
"11/30/2012","2.052","2.047","2.067","2.028","-0.39%"
"11/29/2012","2.060","2.082","2.083","2.025","0.34%"
"11/28/2012","2.053","2.122","2.129","2.040","-3.98%"
"11/27/2012","2.138","2.161","2.174","2.124","-0.65%"
"11/26/2012","2.152","2.177","2.177","2.139","-1.10%"
"11/23/2012","2.176","2.197","2.200","2.152","-0.68%"
"11/22/2012","2.191","2.182","2.203","2.167","0.05%"
"11/21/2012","2.190","2.151","2.194","2.144","1.81%"
"11/20/2012","2.151","2.121","2.166","2.094","3.51%"
"11/19/2012","2.078","2.100","2.100","2.066","-0.29%"
"11/16/2012","2.084","2.094","2.107","2.068","-0.24%"
"11/15/2012","2.089","2.107","2.118","2.082","-0.90%"
"11/14/2012","2.108","2.079","2.120","2.074","1.88%"
"11/13/2012","2.069","2.114","2.114","2.049","-1.85%"
"11/12/2012","2.108","2.142","2.145","2.108","-1.22%"
"11/10/2012","2.134","2.134","2.134","2.134","0.05%"
"11/09/2012","2.133","2.163","2.185","2.124","-1.71%"
"11/08/2012","2.170","2.188","2.193","2.160","-0.37%"
"11/07/2012","2.178","2.228","2.232","2.174","-1.00%"
"11/06/2012","2.200","2.232","2.237","2.198","-0.81%"
"11/05/2012","2.218","2.222","2.241","2.213","-0.67%"
"11/03/2012","2.233","2.233","2.233","2.233","0.27%"
"11/02/2012","2.227","2.243","2.245","2.213","-0.31%"
"11/01/2012","2.234","2.256","2.257","2.218","-1.19%"
"10/31/2012","2.261","2.245","2.269","2.223","0.58%"
"10/30/2012","2.248","2.244","2.257","2.220","-0.66%"
"10/29/2012","2.263","2.259","2.278","2.243","0.58%"
"10/26/2012","2.250","2.250","2.250","2.250","-1.06%"
"10/25/2012","2.274","2.274","2.274","2.274","0.80%"
"10/24/2012","2.256","2.256","2.256","2.256","0.53%"
"10/23/2012","2.244","2.244","2.244","2.244","0.45%"
"10/22/2012","2.234","2.234","2.234","2.234","0.81%"
"10/19/2012","2.216","2.216","2.216","2.216","-0.94%"
"10/18/2012","2.237","2.237","2.237","2.237","4.88%"
"10/17/2012","2.133","2.133","2.133","2.133","1.81%"
