"Date","Price","Open","High","Low","Change %"
"09/19/2025","2.304","2.342","2.342","2.296","0.31%"
"09/18/2025","2.297","2.289","2.309","2.270","0.00%"
"09/17/2025","2.297","2.282","2.301","2.267","0.24%"
"09/16/2025","2.291","2.298","2.308","2.273","-0.07%"
"09/15/2025","2.293","2.309","2.309","2.274","-0.37%"
"09/12/2025","2.301","2.277","2.318","2.260","1.96%"
"09/11/2025","2.257","2.241","2.280","2.208","1.18%"
"09/10/2025","2.231","2.226","2.241","2.205","0.37%"
"09/09/2025","2.222","2.216","2.231","2.199","0.58%"
"09/08/2025","2.209","2.217","2.233","2.196","-0.66%"
"09/05/2025","2.224","2.266","2.273","2.203","-1.94%"
"09/04/2025","2.268","2.280","2.293","2.245","-0.51%"
"09/03/2025","2.280","2.286","2.311","2.266","-0.80%"
"09/02/2025","2.298","2.292","2.322","2.282","1.30%"
"09/01/2025","2.269","2.273","2.286","2.251","0.24%"
"08/29/2025","2.263","2.245","2.270","2.240","1.03%"
"08/28/2025","2.240","2.245","2.269","2.233","-0.67%"
"08/27/2025","2.255","2.274","2.284","2.239","-0.42%"
"08/26/2025","2.265","2.262","2.303","2.247","-1.35%"
"08/25/2025","2.296","2.277","2.309","2.260","2.01%"
"08/22/2025","2.250","2.289","2.301","2.243","-1.69%"
"08/21/2025","2.289","2.240","2.299","2.234","1.76%"
"08/20/2025","2.250","2.266","2.277","2.236","-0.99%"
"08/19/2025","2.272","2.281","2.301","2.263","-0.73%"
"08/18/2025","2.289","2.322","2.322","2.259","-0.14%"
"08/15/2025","2.292","2.251","2.299","2.236","2.23%"
"08/14/2025","2.242","2.238","2.261","2.209","0.65%"
"08/13/2025","2.228","2.274","2.276","2.217","-1.84%"
"08/12/2025","2.270","2.268","2.298","2.245","0.65%"
"08/11/2025","2.255","2.249","2.273","2.227","0.39%"
"08/08/2025","2.246","2.224","2.263","2.210","1.67%"
"08/07/2025","2.209","2.200","2.236","2.189","-0.31%"
"08/06/2025","2.216","2.212","2.226","2.187","0.96%"
"08/05/2025","2.195","2.192","2.223","2.174","0.00%"
"08/04/2025","2.195","2.229","2.243","2.181","-1.53%"
"08/01/2025","2.229","2.265","2.283","2.182","-0.92%"
"07/31/2025","2.250","2.252","2.282","2.236","-0.16%"
"07/30/2025","2.254","2.248","2.271","2.224","0.95%"
"07/29/2025","2.233","2.236","2.259","2.217","0.11%"
"07/28/2025","2.230","2.274","2.277","2.214","-1.21%"
"07/25/2025","2.257","2.272","2.314","2.249","0.21%"
"07/24/2025","2.253","2.204","2.261","2.177","5.59%"
"07/23/2025","2.133","2.142","2.164","2.122","0.22%"
"07/22/2025","2.129","2.152","2.169","2.122","-0.99%"
