"Date","Price","Open","High","Low","Change %"
"05/02/2017","-0.545","-0.537","-0.527","-0.546","1.11%"
"05/01/2017","-0.539","-0.539","-0.539","-0.539","-0.35%"
"04/28/2017","-0.541","-0.549","-0.534","-0.549","-0.68%"
"04/27/2017","-0.545","-0.536","-0.530","-0.549","-0.15%"
"04/26/2017","-0.545","-0.535","-0.528","-0.551","2.40%"
"04/25/2017","-0.533","-0.534","-0.530","-0.542","-1.08%"
"04/24/2017","-0.538","-0.469","-0.461","-0.571","17.04%"
"04/22/2017","-0.460","-0.460","-0.460","-0.460","-3.89%"
"04/21/2017","-0.479","-0.449","-0.440","-0.495","6.28%"
"04/20/2017","-0.450","-0.460","-0.440","-0.460","-0.13%"
"04/19/2017","-0.451","-0.451","-0.435","-0.455","1.35%"
"04/18/2017","-0.445","-0.468","-0.405","-0.487","-7.20%"
"04/17/2017","-0.479","-0.479","-0.479","-0.479","-0.23%"
"04/13/2017","-0.481","-0.485","-0.470","-0.488","-0.56%"
"04/12/2017","-0.483","-0.483","-0.465","-0.490","-0.37%"
"04/11/2017","-0.485","-0.470","-0.470","-0.485","11.49%"
"04/10/2017","-0.435","-0.525","-0.435","-0.525","-19.37%"
"04/07/2017","-0.539","-0.529","-0.515","-0.542","0.41%"
"04/06/2017","-0.537","-0.536","-0.515","-0.545","0.22%"
"04/05/2017","-0.536","-0.540","-0.525","-0.545","-1.09%"
"04/04/2017","-0.542","-0.536","-0.520","-0.550","0.91%"
"04/03/2017","-0.537","-0.501","-0.494","-0.550","5.29%"
"03/31/2017","-0.510","-0.509","-0.491","-0.516","2.16%"
"03/30/2017","-0.499","-0.536","-0.496","-0.541","-7.19%"
"03/29/2017","-0.538","-0.527","-0.520","-0.540","1.72%"
"03/28/2017","-0.529","-0.521","-0.519","-0.534","0.21%"
"03/27/2017","-0.528","-0.546","-0.499","-0.555","-3.67%"
"03/26/2017","-0.548","-0.548","-0.548","-0.548","0.00%"
"03/24/2017","-0.548","-0.545","-0.540","-0.555","1.09%"
"03/23/2017","-0.542","-0.533","-0.528","-0.548","1.29%"
"03/22/2017","-0.535","-0.525","-0.524","-0.540","1.92%"
"03/21/2017","-0.525","-0.535","-0.524","-0.540","-2.81%"
"03/20/2017","-0.540","-0.551","-0.465","-0.562","-3.86%"
"03/18/2017","-0.562","-0.562","-0.562","-0.562","0.00%"
"03/17/2017","-0.562","-0.564","-0.550","-0.566","-1.78%"
"03/16/2017","-0.572","-0.583","-0.555","-0.590","-2.89%"
"03/15/2017","-0.589","-0.589","-0.586","-0.593","-0.41%"
"03/14/2017","-0.591","-0.606","-0.583","-0.607","-6.48%"
"03/13/2017","-0.632","-0.627","-0.585","-0.650","0.00%"
"03/10/2017","-0.632","-0.637","-0.600","-0.646","-1.14%"
"03/09/2017","-0.640","-0.585","-0.560","-0.661","10.11%"
"03/08/2017","-0.581","-0.574","-0.555","-0.584","0.50%"
"03/07/2017","-0.578","-0.564","-0.520","-0.580","3.92%"
"03/06/2017","-0.556","-0.543","-0.525","-0.559","3.65%"
"03/03/2017","-0.536","-0.540","-0.530","-0.543","-0.70%"
"03/02/2017","-0.540","-0.531","-0.525","-0.545","1.64%"
"03/01/2017","-0.532","-0.542","-0.530","-0.549","-2.99%"
"02/28/2017","-0.548","-0.540","-0.527","-0.553","1.48%"
"02/27/2017","-0.540","-0.537","-0.534","-0.550","1.09%"
"02/24/2017","-0.534","-0.522","-0.515","-0.545","2.75%"
"02/23/2017","-0.520","-0.537","-0.515","-0.540","-2.27%"
"02/22/2017","-0.532","-0.537","-0.525","-0.539","-1.06%"
"02/21/2017","-0.538","-0.565","-0.522","-0.567","-4.95%"
"02/20/2017","-0.566","-0.568","-0.550","-0.575","-1.60%"
"02/17/2017","-0.575","-0.595","-0.566","-0.601","-3.35%"
"02/16/2017","-0.595","-0.597","-0.590","-0.608","-0.87%"
"02/15/2017","-0.600","-0.590","-0.590","-0.600","0.00%"
"02/14/2017","-0.600","-0.580","-0.580","-0.610","1.69%"
"02/13/2017","-0.590","-0.580","-0.575","-0.590","2.61%"
"02/10/2017","-0.575","-0.515","-0.495","-0.610","-5.74%"
"02/09/2017","-0.610","-0.520","-0.520","-0.620","0.00%"
"02/08/2017","-0.610","-0.530","-0.530","-0.625","-0.81%"
"02/07/2017","-0.615","-0.490","-0.490","-0.620","5.13%"
"02/06/2017","-0.585","-0.545","-0.545","-0.585","6.36%"
"02/03/2017","-0.550","-0.555","-0.545","-0.565","-3.51%"
"02/02/2017","-0.570","-0.540","-0.540","-0.570","2.70%"
"02/01/2017","-0.555","-0.520","-0.520","-0.555","4.72%"
"01/31/2017","-0.530","-0.510","-0.510","-0.530","1.92%"
"01/30/2017","-0.520","-0.505","-0.505","-0.520","0.00%"
"01/27/2017","-0.520","-0.515","-0.510","-0.525","-1.89%"
"01/26/2017","-0.530","-0.525","-0.515","-0.540","-0.93%"
"01/25/2017","-0.535","-0.525","-0.525","-0.540","-0.93%"
"01/24/2017","-0.540","-0.525","-0.525","-0.550","0.00%"
"01/23/2017","-0.540","-0.505","-0.505","-0.540","3.85%"
"01/20/2017","-0.520","-0.540","-0.520","-0.555","-6.31%"
"01/19/2017","-0.555","-0.550","-0.550","-0.565","-1.77%"
"01/18/2017","-0.565","-0.535","-0.535","-0.570","1.80%"
"01/17/2017","-0.555","-0.540","-0.540","-0.570","3.74%"
"01/16/2017","-0.535","-0.560","-0.505","-0.570","-6.14%"
"01/13/2017","-0.570","-0.590","-0.565","-0.595","-4.20%"
"01/12/2017","-0.595","-0.605","-0.595","-0.620","-3.25%"
"01/11/2017","-0.615","-0.605","-0.605","-0.620","0.00%"
"01/10/2017","-0.615","-0.610","-0.605","-0.625","1.65%"
"01/09/2017","-0.605","-0.615","-0.605","-0.635","-8.37%"
"01/06/2017","-0.660","-0.684","-0.625","-0.692","-4.53%"
"01/05/2017","-0.692","-0.686","-0.686","-0.727","-1.98%"
"01/04/2017","-0.706","-0.710","-0.670","-0.729","-0.41%"
"01/03/2017","-0.709","-0.720","-0.680","-0.724","-1.20%"
"01/02/2017","-0.717","-0.720","-0.691","-0.755","-1.81%"
"12/30/2016","-0.730","-0.787","-0.669","-0.787","-7.87%"
"12/29/2016","-0.793","-0.743","-0.742","-0.806","-1.50%"
"12/28/2016","-0.805","-0.787","-0.760","-0.805","2.71%"
"12/27/2016","-0.784","-0.780","-0.760","-0.785","0.62%"
"12/23/2016","-0.779","-0.795","-0.755","-0.797","0.00%"
"12/22/2016","-0.779","-0.776","-0.775","-0.784","0.00%"
"12/21/2016","-0.779","-0.780","-0.775","-0.783","0.00%"
"12/20/2016","-0.778","-0.770","-0.770","-0.781","0.00%"
"12/19/2016","-0.778","-0.748","-0.747","-0.785","1.17%"
"12/16/2016","-0.769","-0.697","-0.695","-0.770","11.20%"
"12/15/2016","-0.692","-0.678","-0.670","-0.692","1.84%"
"12/14/2016","-0.679","-0.680","-0.665","-0.685","0.79%"
"12/13/2016","-0.674","-0.667","-0.660","-0.676","1.46%"
"12/12/2016","-0.664","-0.669","-0.659","-0.669","0.14%"
"12/09/2016","-0.663","-0.661","-0.655","-0.664","1.27%"
"12/08/2016","-0.655","-0.650","-0.639","-0.661","1.96%"
"12/07/2016","-0.642","-0.647","-0.640","-0.649","0.00%"
"12/06/2016","-0.642","-0.642","-0.635","-0.651","-0.36%"
"12/05/2016","-0.644","-0.668","-0.643","-0.669","-3.27%"
"12/02/2016","-0.666","-0.670","-0.665","-0.671","-1.19%"
"12/01/2016","-0.674","-0.676","-0.670","-0.686","-0.41%"
"11/30/2016","-0.677","-0.671","-0.660","-0.678","1.62%"
"11/29/2016","-0.666","-0.654","-0.650","-0.668","1.65%"
"11/28/2016","-0.655","-0.663","-0.645","-0.664","-1.27%"
"11/25/2016","-0.664","-0.651","-0.640","-0.670","2.20%"
"11/24/2016","-0.650","-0.635","-0.630","-0.650","2.19%"
"11/23/2016","-0.636","-0.640","-0.628","-0.640","0.54%"
"11/22/2016","-0.632","-0.627","-0.620","-0.633","1.10%"
"11/21/2016","-0.625","-0.625","-0.625","-0.630","-4.68%"
"11/18/2016","-0.656","-0.652","-0.580","-0.658","0.15%"
"11/17/2016","-0.655","-0.656","-0.580","-0.660","-0.30%"
"11/16/2016","-0.657","-0.656","-0.580","-0.657","0.31%"
"11/15/2016","-0.655","-0.657","-0.580","-0.660","-0.30%"
"11/14/2016","-0.657","-0.665","-0.654","-0.675","-2.95%"
"11/11/2016","-0.677","-0.677","-0.668","-0.684","0.15%"
"11/10/2016","-0.676","-0.688","-0.671","-0.689","-2.17%"
"11/09/2016","-0.691","-0.693","-0.680","-0.696","1.17%"
"11/08/2016","-0.683","-0.678","-0.675","-0.687","0.00%"
"11/07/2016","-0.683","-0.620","-0.507","-0.683","29.60%"
"11/04/2016","-0.527","-0.645","-0.487","-0.713","-17.01%"
"11/03/2016","-0.635","-0.621","-0.473","-0.648","1.93%"
"11/02/2016","-0.623","-0.623","-0.466","-0.635","29.79%"
"11/01/2016","-0.480","-0.619","-0.460","-0.628","-22.58%"
"10/31/2016","-0.620","-0.631","-0.466","-0.631","-1.12%"
"10/28/2016","-0.627","-0.630","-0.477","-0.633","31.17%"
"10/27/2016","-0.478","-0.625","-0.471","-0.639","-24.37%"
"10/26/2016","-0.632","-0.614","-0.458","-0.637","5.16%"
"10/25/2016","-0.601","-0.624","-0.461","-0.624","0.33%"
"10/24/2016","-0.599","-0.615","-0.463","-0.629","-4.66%"
"10/21/2016","-0.628","-0.617","-0.575","-0.629","1.39%"
"10/20/2016","-0.620","-0.615","-0.575","-0.621","0.23%"
"10/19/2016","-0.618","-0.609","-0.570","-0.618","0.49%"
"10/18/2016","-0.615","-0.614","-0.570","-0.617","0.57%"
"10/17/2016","-0.612","-0.608","-0.605","-0.612","0.58%"
"10/15/2016","-0.608","-0.608","-0.608","-0.608","0.18%"
"10/14/2016","-0.607","-0.618","-0.605","-0.624","-1.27%"
"10/13/2016","-0.615","-0.623","-0.605","-0.623","-0.31%"
"10/12/2016","-0.617","-0.618","-0.605","-0.623","0.13%"
"10/11/2016","-0.616","-0.612","-0.605","-0.625","0.65%"
"10/10/2016","-0.612","-0.622","-0.610","-0.625","-1.32%"
"10/07/2016","-0.620","-0.618","-0.615","-0.625","0.00%"
"10/06/2016","-0.620","-0.622","-0.615","-0.625","0.31%"
"10/05/2016","-0.618","-0.624","-0.618","-0.630","-0.71%"
"10/04/2016","-0.623","-0.618","-0.614","-0.630","0.81%"
"10/03/2016","-0.618","-0.633","-0.590","-0.634","-2.17%"
"09/30/2016","-0.631","-0.622","-0.614","-0.635","1.20%"
"09/29/2016","-0.624","-0.621","-0.603","-0.628","1.41%"
"09/28/2016","-0.615","-0.585","-0.585","-0.615","4.24%"
"09/27/2016","-0.590","-0.570","-0.570","-0.590","0.85%"
"09/26/2016","-0.585","-0.570","-0.565","-0.585","12.72%"
"09/25/2016","-0.519","-0.519","-0.519","-0.519","0.00%"
"09/24/2016","-0.519","-0.519","-0.519","-0.519","-11.13%"
"09/23/2016","-0.584","-0.599","-0.399","-0.599","1.74%"
"09/22/2016","-0.574","-0.569","-0.397","-0.591","1.52%"
"09/21/2016","-0.565","-0.568","-0.517","-0.575","37.57%"
"09/20/2016","-0.411","-0.564","-0.411","-0.570","-25.68%"
"09/19/2016","-0.553","-0.581","-0.547","-0.581","1.84%"
"09/17/2016","-0.543","-0.577","-0.543","-0.577","-4.62%"
"09/16/2016","-0.569","-0.569","-0.550","-0.580","3.13%"
"09/15/2016","-0.552","-0.564","-0.544","-0.578","-0.36%"
"09/14/2016","-0.554","-0.566","-0.539","-0.570","-0.54%"
"09/13/2016","-0.557","-0.560","-0.533","-0.565","0.22%"
"09/12/2016","-0.556","-0.562","-0.531","-0.565","-1.80%"
"09/11/2016","-0.566","-0.566","-0.566","-0.566","5.79%"
"09/10/2016","-0.535","-0.548","-0.535","-0.558","-4.45%"
"09/09/2016","-0.560","-0.547","-0.538","-0.573","-1.37%"
"09/08/2016","-0.568","-0.575","-0.537","-0.576","-0.12%"
"09/07/2016","-0.568","-0.575","-0.552","-0.578","0.00%"
"09/06/2016","-0.568","-0.573","-0.546","-0.577","-0.92%"
"09/05/2016","-0.573","-0.579","-0.553","-0.583","5.19%"
"09/03/2016","-0.545","-0.579","-0.545","-0.579","-2.50%"
"09/02/2016","-0.559","-0.575","-0.555","-0.582","-2.44%"
"09/01/2016","-0.573","-0.578","-0.554","-0.580","-0.69%"
"08/31/2016","-0.577","-0.580","-0.549","-0.583","1.25%"
"08/30/2016","-0.570","-0.573","-0.551","-0.578","-0.85%"
"08/29/2016","-0.575","-0.579","-0.550","-0.580","-0.38%"
"08/26/2016","-0.577","-0.577","-0.575","-0.580","0.00%"
"08/25/2016","-0.577","-0.577","-0.575","-0.581","-0.35%"
"08/24/2016","-0.579","-0.577","-0.570","-0.580","0.52%"
"08/23/2016","-0.576","-0.579","-0.575","-0.583","-0.17%"
"08/22/2016","-0.577","-0.580","-0.575","-0.584","-0.86%"
"08/19/2016","-0.582","-0.580","-0.580","-0.582","0.17%"
"08/18/2016","-0.581","-0.589","-0.578","-0.589","0.00%"
"08/17/2016","-0.581","-0.574","-0.573","-0.584","0.69%"
"08/16/2016","-0.577","-0.575","-0.565","-0.581","0.87%"
"08/15/2016","-0.572","-0.574","-0.570","-0.575","-0.69%"
"08/14/2016","-0.576","-0.576","-0.576","-0.576","0.00%"
"08/13/2016","-0.576","-0.576","-0.576","-0.576","0.00%"
"08/12/2016","-0.576","-0.567","-0.565","-0.576","0.17%"
"08/11/2016","-0.575","-0.568","-0.568","-0.581","0.17%"
"08/10/2016","-0.574","-0.567","-0.567","-0.576","0.53%"
"08/09/2016","-0.571","-0.568","-0.567","-0.571","0.88%"
"08/08/2016","-0.566","-0.566","-0.561","-0.567","0.53%"
"08/06/2016","-0.563","-0.563","-0.563","-0.563","0.00%"
"08/05/2016","-0.563","-0.563","-0.560","-0.571","0.36%"
"08/04/2016","-0.561","-0.567","-0.544","-0.568","0.72%"
"08/03/2016","-0.557","-0.556","-0.550","-0.557","1.27%"
"08/02/2016","-0.550","-0.548","-0.544","-0.556","-0.52%"
"08/01/2016","-0.553","-0.559","-0.553","-0.561","2.39%"
"07/29/2016","-0.540","-0.542","-0.450","-0.557","-0.11%"
"07/28/2016","-0.541","-0.547","-0.505","-0.547","0.00%"
"07/27/2016","-0.541","-0.545","-0.539","-0.546","-0.18%"
"07/26/2016","-0.542","-0.538","-0.535","-0.543","0.82%"
"07/25/2016","-0.538","-0.552","-0.535","-0.552","-3.14%"
"07/22/2016","-0.555","-0.535","-0.535","-0.555","3.14%"
"07/21/2016","-0.538","-0.542","-0.530","-0.542","-0.76%"
"07/20/2016","-0.542","-0.558","-0.536","-0.558","-1.26%"
"07/19/2016","-0.549","-0.554","-0.547","-0.555","-0.27%"
"07/18/2016","-0.551","-0.559","-0.550","-0.560","-0.85%"
"07/15/2016","-0.555","-0.562","-0.550","-0.570","-0.64%"
"07/14/2016","-0.559","-0.560","-0.554","-0.570","-0.13%"
"07/13/2016","-0.560","-0.550","-0.550","-0.575","0.87%"
"07/12/2016","-0.555","-0.565","-0.555","-0.570","-1.65%"
"07/11/2016","-0.564","-0.570","-0.564","-0.573","-0.25%"
"07/08/2016","-0.566","-0.565","-0.561","-0.567","0.11%"
"07/07/2016","-0.565","-0.563","-0.560","-0.571","1.07%"
"07/06/2016","-0.559","-0.559","-0.556","-0.563","0.56%"
