"Date","Price","Open","High","Low","Change %"
"05/10/2009","1.546","1.546","1.546","1.546","-1.09%"
"05/08/2009","1.563","1.563","1.563","1.563","-5.84%"
"05/07/2009","1.660","1.660","1.660","1.660","-3.32%"
"05/06/2009","1.717","1.717","1.717","1.717","-7.09%"
"05/05/2009","1.848","1.848","1.848","1.848","-0.91%"
"05/04/2009","1.865","1.865","1.865","1.865","3.84%"
"05/03/2009","1.796","1.796","1.796","1.796","-1.91%"
"05/01/2009","1.831","1.831","1.831","1.831","2.18%"
"04/30/2009","1.792","1.792","1.792","1.792","-2.40%"
"04/29/2009","1.836","1.836","1.836","1.836","-9.06%"
"04/28/2009","2.019","2.019","2.019","2.019","8.03%"
"04/27/2009","1.869","1.869","1.869","1.869","-0.21%"
"04/26/2009","1.873","1.873","1.873","1.873","-0.79%"
"04/25/2009","1.888","1.888","1.888","1.888","-0.37%"
"04/24/2009","1.895","1.895","1.895","1.895","-1.56%"
"04/23/2009","1.925","1.925","1.925","1.925","-1.13%"
"04/22/2009","1.947","1.947","1.947","1.947","1.04%"
"04/21/2009","1.927","1.927","1.927","1.927","3.60%"
"04/20/2009","1.860","1.860","1.860","1.860","-2.77%"
"04/19/2009","1.913","1.913","1.913","1.913","-4.92%"
"04/17/2009","2.012","2.012","2.012","2.012","5.84%"
"04/16/2009","1.901","1.901","1.901","1.901","1.12%"
"04/15/2009","1.880","1.880","1.880","1.880","-4.67%"
"04/14/2009","1.972","1.972","1.972","1.972","1.65%"
"04/13/2009","1.940","1.940","1.940","1.940","0.78%"
"04/10/2009","1.925","1.925","1.925","1.925","-3.70%"
"04/09/2009","1.999","1.999","1.999","1.999","0.65%"
"04/08/2009","1.986","1.986","1.986","1.986","-2.22%"
"04/07/2009","2.031","2.031","2.031","2.031","-0.93%"
"04/06/2009","2.050","2.050","2.050","2.050","0.00%"
"04/05/2009","2.050","2.050","2.050","2.050","-1.73%"
"04/03/2009","2.086","2.086","2.086","2.086","1.16%"
"04/02/2009","2.062","2.062","2.062","2.062","8.87%"
"04/01/2009","1.894","1.894","1.894","1.894","-0.26%"
"03/31/2009","1.899","1.899","1.899","1.899","-0.84%"
"03/30/2009","1.915","1.915","1.915","1.915","-4.06%"
"03/29/2009","1.996","1.996","1.996","1.996","0.91%"
"03/28/2009","1.978","1.978","1.978","1.978","0.36%"
"03/27/2009","1.971","1.971","1.971","1.971","-3.48%"
"03/26/2009","2.042","2.042","2.042","2.042","-0.78%"
"03/25/2009","2.058","2.058","2.058","2.058","2.39%"
"03/24/2009","2.010","2.010","2.010","2.010","0.65%"
"03/23/2009","1.997","1.997","1.997","1.997","2.94%"
"03/20/2009","1.940","1.940","1.940","1.940","-6.91%"
"03/19/2009","2.084","2.084","2.084","2.084","-2.98%"
"03/18/2009","2.148","2.148","2.148","2.148","0.56%"
"03/17/2009","2.136","2.136","2.136","2.136","0.95%"
"03/16/2009","2.116","2.116","2.116","2.116","-0.52%"
"03/15/2009","2.127","2.127","2.127","2.127","3.50%"
"03/14/2009","2.055","2.055","2.055","2.055","-1.30%"
"03/13/2009","2.082","2.082","2.082","2.082","-1.33%"
"03/12/2009","2.110","2.110","2.110","2.110","-2.90%"
"03/11/2009","2.173","2.173","2.173","2.173","-0.28%"
"03/10/2009","2.179","2.179","2.179","2.179","4.96%"
"03/09/2009","2.076","2.076","2.076","2.076","0.10%"
"03/08/2009","2.074","2.074","2.074","2.074","0.10%"
"03/07/2009","2.072","2.072","2.072","2.072","0.48%"
"03/06/2009","2.062","2.062","2.062","2.062","1.38%"
"03/05/2009","2.034","2.034","2.034","2.034","-1.69%"
"03/04/2009","2.069","2.069","2.069","2.069","0.98%"
"03/03/2009","2.049","2.049","2.049","2.049","-4.61%"
"03/02/2009","2.148","2.148","2.148","2.148","1.42%"
"03/01/2009","2.118","2.118","2.118","2.118","-4.68%"
"02/28/2009","2.222","2.222","2.222","2.222","2.44%"
"02/27/2009","2.169","2.169","2.169","2.169","0.42%"
"02/26/2009","2.160","2.160","2.160","2.160","-0.87%"
"02/25/2009","2.179","2.179","2.179","2.179","0.60%"
"02/24/2009","2.166","2.166","2.166","2.166","1.40%"
"02/23/2009","2.136","2.136","2.136","2.136","-0.28%"
"02/22/2009","2.142","2.142","2.142","2.142","-0.23%"
"02/21/2009","2.147","2.147","2.147","2.147","0.70%"
"02/20/2009","2.132","2.132","2.132","2.132","-1.07%"
"02/19/2009","2.155","2.155","2.155","2.155","1.94%"
"02/18/2009","2.114","2.114","2.114","2.114","-0.70%"
"02/17/2009","2.129","2.129","2.129","2.129","-5.38%"
"02/16/2009","2.250","2.250","2.250","2.250","5.04%"
"02/15/2009","2.142","2.142","2.142","2.142","-2.64%"
"02/14/2009","2.200","2.200","2.200","2.200","-0.23%"
"02/13/2009","2.205","2.205","2.205","2.205","3.67%"
"02/12/2009","2.127","2.127","2.127","2.127","-1.66%"
"02/11/2009","2.163","2.163","2.163","2.163","-5.83%"
"02/10/2009","2.297","2.297","2.297","2.297","4.69%"
"02/09/2009","2.194","2.194","2.194","2.194","-0.45%"
