"Date","Price","Open","High","Low","Change %"
"01/17/2014","0.790","0.798","0.808","0.782","-0.63%"
"01/16/2014","0.795","0.813","0.819","0.787","-2.93%"
"01/15/2014","0.819","0.790","0.829","0.782","4.07%"
"01/14/2014","0.787","0.750","0.795","0.750","4.93%"
"01/13/2014","0.750","0.776","0.776","0.742","-3.35%"
"01/10/2014","0.776","0.880","0.901","0.774","-11.82%"
"01/09/2014","0.880","0.874","0.890","0.861","0.00%"
"01/08/2014","0.880","0.682","0.882","0.682","16.71%"
"01/07/2014","0.754","0.754","0.762","0.749","0.00%"
"01/06/2014","0.754","0.784","0.789","0.752","-3.08%"
"01/03/2014","0.778","0.748","0.781","0.743","3.60%"
"01/02/2014","0.751","0.781","0.781","0.746","-2.11%"
"01/01/2014","0.767","0.767","0.767","0.767","0.00%"
"12/31/2013","0.767","0.762","0.775","0.754","1.46%"
"12/30/2013","0.756","0.775","0.786","0.756","-2.45%"
"12/27/2013","0.775","0.788","0.796","0.772","-1.90%"
"12/26/2013","0.790","0.798","0.804","0.780","-1.37%"
"12/25/2013","0.801","0.788","0.801","0.788","1.65%"
"12/24/2013","0.788","0.761","0.798","0.753","3.55%"
"12/23/2013","0.761","0.729","0.761","0.729","4.39%"
"12/20/2013","0.729","0.705","0.758","0.702","3.85%"
"12/19/2013","0.702","0.649","0.715","0.643","8.67%"
"12/18/2013","0.646","0.649","0.707","0.617","0.00%"
"12/17/2013","0.646","0.673","0.673","0.646","-4.30%"
"12/16/2013","0.675","0.678","0.680","0.665","0.00%"
"12/13/2013","0.675","0.678","0.696","0.673","0.00%"
"12/12/2013","0.675","0.649","0.688","0.649","4.01%"
"12/11/2013","0.649","0.633","0.654","0.625","9.44%"
"12/10/2013","0.593","0.612","0.614","0.593","-3.42%"
"12/09/2013","0.614","0.622","0.622","0.601","0.00%"
"12/06/2013","0.614","0.598","0.636","0.590","2.68%"
"12/05/2013","0.598","0.571","0.598","0.566","4.18%"
"12/04/2013","0.574","0.553","0.587","0.553","3.42%"
"12/03/2013","0.555","0.563","0.569","0.545","-1.07%"
"12/02/2013","0.561","0.548","0.572","0.545","2.56%"
"11/29/2013","0.547","0.553","0.566","0.542","-1.10%"
"11/28/2013","0.553","0.548","0.556","0.548","0.93%"
"11/27/2013","0.548","0.545","0.564","0.540","0.92%"
"11/26/2013","0.543","0.556","0.561","0.540","-2.86%"
"11/25/2013","0.559","0.561","0.572","0.551","0.54%"
"11/22/2013","0.556","0.551","0.567","0.551","0.36%"
"11/21/2013","0.554","0.569","0.575","0.538","-2.64%"
"11/20/2013","0.569","0.572","0.583","0.533","-1.04%"
"11/19/2013","0.575","0.559","0.580","0.554","3.42%"
"11/18/2013","0.556","0.580","0.580","0.549","-3.81%"
"11/15/2013","0.578","0.570","0.585","0.570","1.40%"
"11/14/2013","0.570","0.580","0.599","0.567","-4.84%"
"11/13/2013","0.599","0.646","0.649","0.578","-3.70%"
"11/12/2013","0.622","0.598","0.625","0.593","4.49%"
"11/11/2013","0.595","0.593","0.595","0.593","0.39%"
"11/08/2013","0.593","0.539","0.603","0.525","10.63%"
"11/07/2013","0.536","0.547","0.550","0.510","-2.55%"
"11/06/2013","0.550","0.582","0.582","0.542","-5.50%"
"11/05/2013","0.582","0.579","0.601","0.577","0.52%"
"11/04/2013","0.579","0.582","0.585","0.577","-1.86%"
"11/01/2013","0.590","0.574","0.595","0.572","3.69%"
"10/31/2013","0.569","0.585","0.588","0.558","-1.90%"
"10/30/2013","0.580","0.572","0.588","0.553","1.05%"
"10/29/2013","0.574","0.582","0.585","0.572","-1.37%"
"10/28/2013","0.582","0.585","0.596","0.577","0.00%"
"10/25/2013","0.582","0.588","0.593","0.577","-1.02%"
"10/24/2013","0.588","0.593","0.596","0.580","0.51%"
"10/23/2013","0.585","0.577","0.590","0.569","1.39%"
"10/22/2013","0.577","0.620","0.625","0.575","-6.94%"
"10/21/2013","0.620","0.620","0.625","0.604","0.98%"
"10/18/2013","0.614","0.609","0.620","0.588","1.15%"
"10/17/2013","0.607","0.638","0.638","0.599","-4.86%"
"10/16/2013","0.638","0.675","0.688","0.636","-5.06%"
"10/15/2013","0.672","0.696","0.696","0.662","-3.48%"
"10/14/2013","0.696","0.699","0.699","0.693","3.60%"
"10/11/2013","0.672","0.686","0.688","0.659","-1.61%"
"10/10/2013","0.683","0.691","0.712","0.680","-0.73%"
"10/09/2013","0.688","0.686","0.709","0.680","1.47%"
"10/08/2013","0.678","0.633","0.689","0.630","5.77%"
"10/07/2013","0.641","0.617","0.646","0.606","2.07%"
"10/04/2013","0.628","0.602","0.633","0.599","5.72%"
"10/03/2013","0.594","0.607","0.626","0.591","-2.14%"
"10/02/2013","0.607","0.645","0.648","0.605","-5.45%"
"10/01/2013","0.642","0.616","0.645","0.616","4.73%"
"09/30/2013","0.613","0.613","0.645","0.611","-3.46%"
"09/27/2013","0.635","0.657","0.670","0.627","-3.35%"
"09/26/2013","0.657","0.654","0.673","0.646","1.70%"
"09/25/2013","0.646","0.670","0.673","0.643","-3.29%"
"09/24/2013","0.668","0.678","0.684","0.654","-1.18%"
"09/23/2013","0.676","0.689","0.713","0.670","-1.89%"
"09/20/2013","0.689","0.700","0.713","0.679","-1.29%"
"09/19/2013","0.698","0.666","0.703","0.640","4.33%"
"09/18/2013","0.669","0.774","0.814","0.656","-14.23%"
"09/17/2013","0.780","0.806","0.806","0.777","-2.99%"
"09/16/2013","0.804","0.875","0.875","0.767","-8.11%"
"09/13/2013","0.875","0.888","0.920","0.870","-0.91%"
"09/12/2013","0.883","0.886","0.886","0.854","0.00%"
"09/11/2013","0.883","0.933","0.933","0.880","-0.23%"
"09/10/2013","0.885","0.850","0.888","0.850","4.12%"
"09/09/2013","0.850","0.890","0.893","0.836","-3.92%"
"09/07/2013","0.885","0.885","0.885","0.885","0.00%"
"09/06/2013","0.885","0.960","0.979","0.844","-8.10%"
"09/05/2013","0.963","0.876","0.963","0.868","10.31%"
"09/04/2013","0.873","0.808","0.876","0.805","8.04%"
"09/03/2013","0.808","0.824","0.837","0.792","-1.61%"
"09/02/2013","0.821","0.824","0.824","0.818","5.15%"
"08/30/2013","0.781","0.777","0.789","0.757","1.17%"
"08/29/2013","0.772","0.775","0.802","0.764","0.39%"
"08/28/2013","0.769","0.740","0.785","0.737","4.77%"
"08/27/2013","0.734","0.777","0.780","0.734","-4.92%"
"08/26/2013","0.772","0.798","0.823","0.766","-3.02%"
"08/23/2013","0.796","0.819","0.852","0.785","-2.81%"
"08/22/2013","0.819","0.779","0.827","0.768","6.64%"
"08/21/2013","0.768","0.720","0.774","0.710","7.41%"
"08/20/2013","0.715","0.744","0.744","0.710","-4.67%"
"08/19/2013","0.750","0.731","0.757","0.728","4.17%"
"08/16/2013","0.720","0.701","0.749","0.699","2.56%"
"08/15/2013","0.702","0.667","0.736","0.664","4.46%"
"08/14/2013","0.672","0.680","0.683","0.659","-1.61%"
"08/13/2013","0.683","0.628","0.683","0.625","9.28%"
"08/12/2013","0.625","0.620","0.628","0.607","1.28%"
"08/10/2013","0.617","0.617","0.617","0.617","0.00%"
"08/09/2013","0.617","0.622","0.625","0.609","0.00%"
"08/08/2013","0.617","0.620","0.622","0.607","0.00%"
"08/07/2013","0.617","0.622","0.625","0.609","3.70%"
"08/06/2013","0.595","0.593","0.606","0.587","0.34%"
"08/05/2013","0.593","0.574","0.601","0.571","3.29%"
"08/03/2013","0.574","0.574","0.574","0.574","0.00%"
"08/02/2013","0.574","0.646","0.738","0.569","-11.15%"
"08/01/2013","0.646","0.596","0.649","0.585","8.39%"
"07/31/2013","0.596","0.593","0.646","0.588","0.00%"
"07/30/2013","0.596","0.596","0.601","0.585","0.00%"
"07/29/2013","0.596","0.588","0.601","0.580","0.51%"
"07/27/2013","0.593","0.593","0.593","0.593","0.00%"
"07/26/2013","0.593","0.604","0.614","0.585","-1.82%"
"07/25/2013","0.604","0.638","0.652","0.601","-5.03%"
"07/24/2013","0.636","0.593","0.657","0.593","6.71%"
"07/23/2013","0.596","0.588","0.606","0.585","1.36%"
"07/22/2013","0.588","0.580","0.596","0.572","0.93%"
"07/20/2013","0.583","0.583","0.583","0.583","0.00%"
"07/19/2013","0.583","0.596","0.607","0.580","-3.00%"
"07/18/2013","0.601","0.596","0.609","0.577","0.84%"
"07/17/2013","0.596","0.636","0.638","0.572","-6.14%"
"07/16/2013","0.635","0.646","0.657","0.628","-2.16%"
"07/15/2013","0.649","0.672","0.696","0.643","-3.48%"
"07/13/2013","0.672","0.672","0.672","0.672","0.00%"
"07/12/2013","0.672","0.649","0.680","0.620","4.02%"
"07/11/2013","0.646","0.659","0.678","0.641","-10.65%"
"07/10/2013","0.723","0.723","0.733","0.688","5.86%"
"07/09/2013","0.683","0.683","0.700","0.673","0.74%"
"07/08/2013","0.678","0.751","0.767","0.675","-9.67%"
"07/06/2013","0.751","0.751","0.751","0.751","0.00%"
"07/05/2013","0.751","0.658","0.759","0.647","15.03%"
"07/04/2013","0.653","0.653","0.653","0.653","0.00%"
"07/03/2013","0.653","0.634","0.656","0.596","3.00%"
"07/02/2013","0.634","0.644","0.650","0.623","-0.78%"
